"level0","level1","Religious affiliation (total responses)(1)","count"
"Wairarapa","North Island general electorates","Spiritualism and New Age Religions",333
"Wellington Central","North Island general electorates","Spiritualism and New Age Religions",363
"Whanganui","North Island general electorates","Spiritualism and New Age Religions",315
"Whangarei","North Island general electorates","Spiritualism and New Age Religions",342
"Christchurch Central","South Island general electorates","Spiritualism and New Age Religions",396
"Christchurch East","South Island general electorates","Spiritualism and New Age Religions",351
"Clutha-Southland","South Island general electorates","Spiritualism and New Age Religions",177
"Dunedin North","South Island general electorates","Spiritualism and New Age Religions",387
"Dunedin South","South Island general electorates","Spiritualism and New Age Religions",282
"Ilam","South Island general electorates","Spiritualism and New Age Religions",168
"Invercargill","South Island general electorates","Spiritualism and New Age Religions",240
"Kaikoura","South Island general electorates","Spiritualism and New Age Religions",225
"Nelson","South Island general electorates","Spiritualism and New Age Religions",408
"Port Hills","South Island general electorates","Spiritualism and New Age Religions",306
"Rangitata","South Island general electorates","Spiritualism and New Age Religions",216
"Selwyn","South Island general electorates","Spiritualism and New Age Religions",207
"Waimakariri","South Island general electorates","Spiritualism and New Age Religions",216
"Waitaki","South Island general electorates","Spiritualism and New Age Religions",228
"West Coast-Tasman","South Island general electorates","Spiritualism and New Age Religions",381
"Wigram","South Island general electorates","Spiritualism and New Age Religions",249
"Area Outside General Electorate","South Island general electorates","Spiritualism and New Age Religions",NA
"Auckland Central","North Island general electorates","Sikh",513
"Bay of Plenty","North Island general electorates","Sikh",600
"Botany","North Island general electorates","Sikh",981
"Coromandel","North Island general electorates","Sikh",372
"East Coast","North Island general electorates","Sikh",252
"East Coast Bays","North Island general electorates","Sikh",87
"Epsom","North Island general electorates","Sikh",156
"Hamilton East","North Island general electorates","Sikh",453
"Hamilton West","North Island general electorates","Sikh",621
"Helensville","North Island general electorates","Sikh",57
"Hunua","North Island general electorates","Sikh",567
"Hutt South","North Island general electorates","Sikh",111
"Kelston","North Island general electorates","Sikh",204
"Mana","North Island general electorates","Sikh",60
"Mangere","North Island general electorates","Sikh",447
"Manukau East","North Island general electorates","Sikh",2616
"Manurewa","North Island general electorates","Sikh",1884
"Maungakiekie","North Island general electorates","Sikh",321
"Mt Albert","North Island general electorates","Sikh",252
"Mt Roskill","North Island general electorates","Sikh",408
"Napier","North Island general electorates","Sikh",93
"New Lynn","North Island general electorates","Sikh",324
"New Plymouth","North Island general electorates","Sikh",87
"North Shore","North Island general electorates","Sikh",54
"Northcote","North Island general electorates","Sikh",129
"Northland","North Island general electorates","Sikh",39
"Ohariu","North Island general electorates","Sikh",102
"Otaki","North Island general electorates","Sikh",24
"Pakuranga","North Island general electorates","Sikh",366
"Palmerston North","North Island general electorates","Sikh",144
"Papakura","North Island general electorates","Sikh",1875
"Rangitikei","North Island general electorates","Sikh",45
"Rimutaka","North Island general electorates","Sikh",114
"Rodney","North Island general electorates","Sikh",48
"Rongotai","North Island general electorates","Sikh",81
"Rotorua","North Island general electorates","Sikh",906
"Tamaki","North Island general electorates","Sikh",69
"Taranaki-King Country","North Island general electorates","Sikh",117
"Taupo","North Island general electorates","Sikh",159
"Tauranga","North Island general electorates","Sikh",855
"Te Atatu","North Island general electorates","Sikh",162
"Tukituki","North Island general electorates","Sikh",687
"Upper Harbour","North Island general electorates","Sikh",192
"Waikato","North Island general electorates","Sikh",369
"Wairarapa","North Island general electorates","Sikh",33
"Wellington Central","North Island general electorates","Sikh",108
"Whanganui","North Island general electorates","Sikh",63
"Whangarei","North Island general electorates","Sikh",36
"Christchurch Central","South Island general electorates","Sikh",252
"Christchurch East","South Island general electorates","Sikh",54
"Clutha-Southland","South Island general electorates","Sikh",54
"Dunedin North","South Island general electorates","Sikh",51
"Dunedin South","South Island general electorates","Sikh",18
"Ilam","South Island general electorates","Sikh",63
"Invercargill","South Island general electorates","Sikh",45
"Kaikoura","South Island general electorates","Sikh",66
"Nelson","South Island general electorates","Sikh",51
"Port Hills","South Island general electorates","Sikh",33
"Rangitata","South Island general electorates","Sikh",45
"Selwyn","South Island general electorates","Sikh",21
"Waimakariri","South Island general electorates","Sikh",27
"Waitaki","South Island general electorates","Sikh",18
"West Coast-Tasman","South Island general electorates","Sikh",57
"Wigram","South Island general electorates","Sikh",102
"Area Outside General Electorate","South Island general electorates","Sikh",NA
"Auckland Central","North Island general electorates","Other Religions",249
"Bay of Plenty","North Island general electorates","Other Religions",222
"Botany","North Island general electorates","Other Religions",402
"Coromandel","North Island general electorates","Other Religions",240
"East Coast","North Island general electorates","Other Religions",459
"East Coast Bays","North Island general electorates","Other Religions",156
"Epsom","North Island general electorates","Other Religions",225
"Hamilton East","North Island general electorates","Other Religions",345
"Hamilton West","North Island general electorates","Other Religions",327
"Helensville","North Island general electorates","Other Religions",189
"Hunua","North Island general electorates","Other Religions",207
"Hutt South","North Island general electorates","Other Religions",183
"Kelston","North Island general electorates","Other Religions",246
"Mana","North Island general electorates","Other Religions",210
"Mangere","North Island general electorates","Other Religions",309
"Manukau East","North Island general electorates","Other Religions",240
"Manurewa","North Island general electorates","Other Religions",312
"Maungakiekie","North Island general electorates","Other Religions",315
"Mt Albert","North Island general electorates","Other Religions",231
"Mt Roskill","North Island general electorates","Other Religions",255
"Napier","North Island general electorates","Other Religions",204
"New Lynn","North Island general electorates","Other Religions",240
"New Plymouth","North Island general electorates","Other Religions",234
"North Shore","North Island general electorates","Other Religions",138
"Northcote","North Island general electorates","Other Religions",261
"Northland","North Island general electorates","Other Religions",372
"Ohariu","North Island general electorates","Other Religions",168
"Otaki","North Island general electorates","Other Religions",213
"Pakuranga","North Island general electorates","Other Religions",546
"Palmerston North","North Island general electorates","Other Religions",234
"Papakura","North Island general electorates","Other Religions",267
"Rangitikei","North Island general electorates","Other Religions",240
"Rimutaka","North Island general electorates","Other Religions",201
"Rodney","North Island general electorates","Other Religions",168
"Rongotai","North Island general electorates","Other Religions",219
"Rotorua","North Island general electorates","Other Religions",324
"Tamaki","North Island general electorates","Other Religions",177
"Taranaki-King Country","North Island general electorates","Other Religions",300
"Taupo","North Island general electorates","Other Religions",270
"Tauranga","North Island general electorates","Other Religions",162
"Te Atatu","North Island general electorates","Other Religions",288
"Tukituki","North Island general electorates","Other Religions",270
"Upper Harbour","North Island general electorates","Other Religions",207
"Waikato","North Island general electorates","Other Religions",495
"Wairarapa","North Island general electorates","Other Religions",189
"Wellington Central","North Island general electorates","Other Religions",225
"Whanganui","North Island general electorates","Other Religions",234
"Whangarei","North Island general electorates","Other Religions",336
"Christchurch Central","South Island general electorates","Other Religions",198
"Christchurch East","South Island general electorates","Other Religions",177
"Clutha-Southland","South Island general electorates","Other Religions",141
"Dunedin North","South Island general electorates","Other Religions",201
"Dunedin South","South Island general electorates","Other Religions",141
"Ilam","South Island general electorates","Other Religions",153
"Invercargill","South Island general electorates","Other Religions",153
"Kaikoura","South Island general electorates","Other Religions",159
"Nelson","South Island general electorates","Other Religions",189
"Port Hills","South Island general electorates","Other Religions",162
"Rangitata","South Island general electorates","Other Religions",129
"Selwyn","South Island general electorates","Other Religions",117
"Waimakariri","South Island general electorates","Other Religions",117
"Waitaki","South Island general electorates","Other Religions",150
"West Coast-Tasman","South Island general electorates","Other Religions",168
"Wigram","South Island general electorates","Other Religions",195
"Area Outside General Electorate","South Island general electorates","Other Religions",NA
"Auckland Central","North Island general electorates","No Religion",26610
"Bay of Plenty","North Island general electorates","No Religion",27375
"Botany","North Island general electorates","No Religion",19395
"Coromandel","North Island general electorates","No Religion",27990
"East Coast","North Island general electorates","No Religion",32655
"East Coast Bays","North Island general electorates","No Religion",24570
"Epsom","North Island general electorates","No Religion",24078
"Hamilton East","North Island general electorates","No Religion",26676
"Hamilton West","North Island general electorates","No Religion",27645
"Helensville","North Island general electorates","No Religion",29796
"Hunua","North Island general electorates","No Religion",26796
"Hutt South","North Island general electorates","No Religion",27090
"Kelston","North Island general electorates","No Religion",20781
"Mana","North Island general electorates","No Religion",25485
"Mangere","North Island general electorates","No Religion",8403
"Manukau East","North Island general electorates","No Religion",9090
"Manurewa","North Island general electorates","No Religion",14559
"Maungakiekie","North Island general electorates","No Religion",20382
"Mt Albert","North Island general electorates","No Religion",28293
"Mt Roskill","North Island general electorates","No Religion",18216
"Napier","North Island general electorates","No Religion",27384
"New Lynn","North Island general electorates","No Religion",20199
"New Plymouth","North Island general electorates","No Religion",27990
"North Shore","North Island general electorates","No Religion",27636
"Northcote","North Island general electorates","No Religion",26625
"Northland","North Island general electorates","No Religion",29343
"Ohariu","North Island general electorates","No Religion",24918
"Otaki","North Island general electorates","No Religion",25092
"Pakuranga","North Island general electorates","No Religion",23814
"Palmerston North","North Island general electorates","No Religion",26211
"Papakura","North Island general electorates","No Religion",24627
"Rangitikei","North Island general electorates","No Religion",27564
"Rimutaka","North Island general electorates","No Religion",25416
"Rodney","North Island general electorates","No Religion",26406
"Rongotai","North Island general electorates","No Religion",26847
"Rotorua","North Island general electorates","No Religion",29118
"Tamaki","North Island general electorates","No Religion",19887
"Taranaki-King Country","North Island general electorates","No Religion",28803
"Taupo","North Island general electorates","No Religion",29934
"Tauranga","North Island general electorates","No Religion",25404
"Te Atatu","North Island general electorates","No Religion",22851
"Tukituki","North Island general electorates","No Religion",25713
"Upper Harbour","North Island general electorates","No Religion",24654
"Waikato","North Island general electorates","No Religion",30930
"Wairarapa","North Island general electorates","No Religion",26043
"Wellington Central","North Island general electorates","No Religion",31044
"Whanganui","North Island general electorates","No Religion",27408
"Whangarei","North Island general electorates","No Religion",29082
"Christchurch Central","South Island general electorates","No Religion",27474
"Christchurch East","South Island general electorates","No Religion",29547
"Clutha-Southland","South Island general electorates","No Religion",27459
"Dunedin North","South Island general electorates","No Religion",28752
"Dunedin South","South Island general electorates","No Religion",27564
"Ilam","South Island general electorates","No Religion",23496
"Invercargill","South Island general electorates","No Religion",26151
"Kaikoura","South Island general electorates","No Religion",25929
"Nelson","South Island general electorates","No Religion",29841
"Port Hills","South Island general electorates","No Religion",28890
"Rangitata","South Island general electorates","No Religion",23259
"Selwyn","South Island general electorates","No Religion",25776
"Waimakariri","South Island general electorates","No Religion",25128
"Waitaki","South Island general electorates","No Religion",25959
"West Coast-Tasman","South Island general electorates","No Religion",28692
"Wigram","South Island general electorates","No Religion",24594
"Area Outside General Electorate","South Island general electorates","No Religion",NA
"Auckland Central","North Island general electorates","Object to Answering",1953
"Bay of Plenty","North Island general electorates","Object to Answering",3081
"Botany","North Island general electorates","Object to Answering",1824
"Coromandel","North Island general electorates","Object to Answering",3723
"East Coast","North Island general electorates","Object to Answering",5688
"East Coast Bays","North Island general electorates","Object to Answering",2115
"Epsom","North Island general electorates","Object to Answering",1716
"Hamilton East","North Island general electorates","Object to Answering",2622
"Hamilton West","North Island general electorates","Object to Answering",2814
"Helensville","North Island general electorates","Object to Answering",2601
"Hunua","North Island general electorates","Object to Answering",2571
"Hutt South","North Island general electorates","Object to Answering",2493
"Kelston","North Island general electorates","Object to Answering",2427
"Mana","North Island general electorates","Object to Answering",2679
"Mangere","North Island general electorates","Object to Answering",2049
"Manukau East","North Island general electorates","Object to Answering",2010
"Manurewa","North Island general electorates","Object to Answering",2640
"Maungakiekie","North Island general electorates","Object to Answering",2178
"Mt Albert","North Island general electorates","Object to Answering",1968
"Mt Roskill","North Island general electorates","Object to Answering",1767
"Napier","North Island general electorates","Object to Answering",3525
"New Lynn","North Island general electorates","Object to Answering",2058
"New Plymouth","North Island general electorates","Object to Answering",3381
"North Shore","North Island general electorates","Object to Answering",1902
"Northcote","North Island general electorates","Object to Answering",2181
"Northland","North Island general electorates","Object to Answering",5532
"Ohariu","North Island general electorates","Object to Answering",1932
"Otaki","North Island general electorates","Object to Answering",3123
"Pakuranga","North Island general electorates","Object to Answering",2028
"Palmerston North","North Island general electorates","Object to Answering",2586
"Papakura","North Island general electorates","Object to Answering",2991
"Rangitikei","North Island general electorates","Object to Answering",3213
"Rimutaka","North Island general electorates","Object to Answering",2631
"Rodney","North Island general electorates","Object to Answering",2697
"Rongotai","North Island general electorates","Object to Answering",2142
"Rotorua","North Island general electorates","Object to Answering",3651
"Tamaki","North Island general electorates","Object to Answering",1707
"Taranaki-King Country","North Island general electorates","Object to Answering",3276
"Taupo","North Island general electorates","Object to Answering",3540
"Tauranga","North Island general electorates","Object to Answering",2796
"Te Atatu","North Island general electorates","Object to Answering",2634
"Tukituki","North Island general electorates","Object to Answering",3471
"Upper Harbour","North Island general electorates","Object to Answering",2310
"Waikato","North Island general electorates","Object to Answering",3507
"Wairarapa","North Island general electorates","Object to Answering",3123
"Wellington Central","North Island general electorates","Object to Answering",2031
"Whanganui","North Island general electorates","Object to Answering",3552
"Whangarei","North Island general electorates","Object to Answering",4449
"Christchurch Central","South Island general electorates","Object to Answering",2391
"Christchurch East","South Island general electorates","Object to Answering",2778
"Clutha-Southland","South Island general electorates","Object to Answering",2319
"Dunedin North","South Island general electorates","Object to Answering",2367
"Dunedin South","South Island general electorates","Object to Answering",2253
"Ilam","South Island general electorates","Object to Answering",1995
"Invercargill","South Island general electorates","Object to Answering",2679
"Kaikoura","South Island general electorates","Object to Answering",2928
"Nelson","South Island general electorates","Object to Answering",3060
"Port Hills","South Island general electorates","Object to Answering",2313
"Rangitata","South Island general electorates","Object to Answering",2382
"Selwyn","South Island general electorates","Object to Answering",2166
"Waimakariri","South Island general electorates","Object to Answering",2427
"Waitaki","South Island general electorates","Object to Answering",2631
"West Coast-Tasman","South Island general electorates","Object to Answering",3249
"Wigram","South Island general electorates","Object to Answering",2202
"Area Outside General Electorate","South Island general electorates","Object to Answering",NA
"Auckland Central","North Island general electorates","Not Elsewhere Included(3)",6975
"Bay of Plenty","North Island general electorates","Not Elsewhere Included(3)",4428
"Botany","North Island general electorates","Not Elsewhere Included(3)",3801
"Coromandel","North Island general electorates","Not Elsewhere Included(3)",4854
"East Coast","North Island general electorates","Not Elsewhere Included(3)",10962
"East Coast Bays","North Island general electorates","Not Elsewhere Included(3)",3861
"Epsom","North Island general electorates","Not Elsewhere Included(3)",4344
"Hamilton East","North Island general electorates","Not Elsewhere Included(3)",5901
"Hamilton West","North Island general electorates","Not Elsewhere Included(3)",5736
"Helensville","North Island general electorates","Not Elsewhere Included(3)",5655
"Hunua","North Island general electorates","Not Elsewhere Included(3)",4845
"Hutt South","North Island general electorates","Not Elsewhere Included(3)",4764
"Kelston","North Island general electorates","Not Elsewhere Included(3)",6315
"Mana","North Island general electorates","Not Elsewhere Included(3)",6060
"Mangere","North Island general electorates","Not Elsewhere Included(3)",8526
"Manukau East","North Island general electorates","Not Elsewhere Included(3)",7752
"Manurewa","North Island general electorates","Not Elsewhere Included(3)",9615
"Maungakiekie","North Island general electorates","Not Elsewhere Included(3)",6738
"Mt Albert","North Island general electorates","Not Elsewhere Included(3)",5001
"Mt Roskill","North Island general electorates","Not Elsewhere Included(3)",4488
"Napier","North Island general electorates","Not Elsewhere Included(3)",5631
"New Lynn","North Island general electorates","Not Elsewhere Included(3)",4899
"New Plymouth","North Island general electorates","Not Elsewhere Included(3)",5334
"North Shore","North Island general electorates","Not Elsewhere Included(3)",3405
"Northcote","North Island general electorates","Not Elsewhere Included(3)",4719
"Northland","North Island general electorates","Not Elsewhere Included(3)",10395
"Ohariu","North Island general electorates","Not Elsewhere Included(3)",3150
"Otaki","North Island general electorates","Not Elsewhere Included(3)",4896
"Pakuranga","North Island general electorates","Not Elsewhere Included(3)",3288
"Palmerston North","North Island general electorates","Not Elsewhere Included(3)",5310
"Papakura","North Island general electorates","Not Elsewhere Included(3)",7113
"Rangitikei","North Island general electorates","Not Elsewhere Included(3)",4764
"Rimutaka","North Island general electorates","Not Elsewhere Included(3)",6003
"Rodney","North Island general electorates","Not Elsewhere Included(3)",4011
"Rongotai","North Island general electorates","Not Elsewhere Included(3)",4878
"Rotorua","North Island general electorates","Not Elsewhere Included(3)",8778
"Tamaki","North Island general electorates","Not Elsewhere Included(3)",4710
"Taranaki-King Country","North Island general electorates","Not Elsewhere Included(3)",5382
"Taupo","North Island general electorates","Not Elsewhere Included(3)",6099
"Tauranga","North Island general electorates","Not Elsewhere Included(3)",4503
"Te Atatu","North Island general electorates","Not Elsewhere Included(3)",6180
"Tukituki","North Island general electorates","Not Elsewhere Included(3)",6891
"Upper Harbour","North Island general electorates","Not Elsewhere Included(3)",5592
"Waikato","North Island general electorates","Not Elsewhere Included(3)",6642
"Wairarapa","North Island general electorates","Not Elsewhere Included(3)",4761
"Wellington Central","North Island general electorates","Not Elsewhere Included(3)",4998
"Whanganui","North Island general electorates","Not Elsewhere Included(3)",6663
"Whangarei","North Island general electorates","Not Elsewhere Included(3)",7038
"Christchurch Central","South Island general electorates","Not Elsewhere Included(3)",5523
"Christchurch East","South Island general electorates","Not Elsewhere Included(3)",5748
"Clutha-Southland","South Island general electorates","Not Elsewhere Included(3)",5148
"Dunedin North","South Island general electorates","Not Elsewhere Included(3)",5256
"Dunedin South","South Island general electorates","Not Elsewhere Included(3)",3864
"Ilam","South Island general electorates","Not Elsewhere Included(3)",3288
"Invercargill","South Island general electorates","Not Elsewhere Included(3)",4317
"Kaikoura","South Island general electorates","Not Elsewhere Included(3)",4452
"Nelson","South Island general electorates","Not Elsewhere Included(3)",3939
"Port Hills","South Island general electorates","Not Elsewhere Included(3)",4167
"Rangitata","South Island general electorates","Not Elsewhere Included(3)",3972
"Selwyn","South Island general electorates","Not Elsewhere Included(3)",3381
"Waimakariri","South Island general electorates","Not Elsewhere Included(3)",3093
"Waitaki","South Island general electorates","Not Elsewhere Included(3)",4404
"West Coast-Tasman","South Island general electorates","Not Elsewhere Included(3)",5130
"Wigram","South Island general electorates","Not Elsewhere Included(3)",4980
"Area Outside General Electorate","South Island general electorates","Not Elsewhere Included(3)",NA
