"level0","level1","level2","Occupation(1) (ANZSCO major group)(2) ","count"
"Technicians and Trades Workers","Taranaki-King Country","North Island general electorates","Female",798
"Community and Personal Service Workers","Taranaki-King Country","North Island general electorates","Female",1722
"Clerical and Administrative Workers","Taranaki-King Country","North Island general electorates","Female",2772
"Sales Workers","Taranaki-King Country","North Island general electorates","Female",1428
"Machinery Operators and Drivers","Taranaki-King Country","North Island general electorates","Female",180
"Labourers","Taranaki-King Country","North Island general electorates","Female",1683
"Not Elsewhere Included(4)","Taranaki-King Country","North Island general electorates","Female",771
"Managers","Taupo","North Island general electorates","Female",2421
"Professionals","Taupo","North Island general electorates","Female",3378
"Technicians and Trades Workers","Taupo","North Island general electorates","Female",822
"Community and Personal Service Workers","Taupo","North Island general electorates","Female",2160
"Clerical and Administrative Workers","Taupo","North Island general electorates","Female",2877
"Sales Workers","Taupo","North Island general electorates","Female",1797
"Machinery Operators and Drivers","Taupo","North Island general electorates","Female",222
"Labourers","Taupo","North Island general electorates","Female",1812
"Not Elsewhere Included(4)","Taupo","North Island general electorates","Female",720
"Managers","Tauranga","North Island general electorates","Female",1662
"Professionals","Tauranga","North Island general electorates","Female",3633
"Technicians and Trades Workers","Tauranga","North Island general electorates","Female",615
"Community and Personal Service Workers","Tauranga","North Island general electorates","Female",1956
"Clerical and Administrative Workers","Tauranga","North Island general electorates","Female",2742
"Sales Workers","Tauranga","North Island general electorates","Female",1833
"Machinery Operators and Drivers","Tauranga","North Island general electorates","Female",177
"Labourers","Tauranga","North Island general electorates","Female",948
"Not Elsewhere Included(4)","Tauranga","North Island general electorates","Female",495
"Managers","Te Atatu","North Island general electorates","Female",1740
"Professionals","Te Atatu","North Island general electorates","Female",3402
"Technicians and Trades Workers","Te Atatu","North Island general electorates","Female",612
"Community and Personal Service Workers","Te Atatu","North Island general electorates","Female",1647
"Clerical and Administrative Workers","Te Atatu","North Island general electorates","Female",2853
"Sales Workers","Te Atatu","North Island general electorates","Female",1686
"Machinery Operators and Drivers","Te Atatu","North Island general electorates","Female",291
"Labourers","Te Atatu","North Island general electorates","Female",903
"Not Elsewhere Included(4)","Te Atatu","North Island general electorates","Female",684
"Managers","Tukituki","North Island general electorates","Female",1875
"Professionals","Tukituki","North Island general electorates","Female",3756
"Technicians and Trades Workers","Tukituki","North Island general electorates","Female",759
"Community and Personal Service Workers","Tukituki","North Island general electorates","Female",2139
"Clerical and Administrative Workers","Tukituki","North Island general electorates","Female",2577
"Sales Workers","Tukituki","North Island general electorates","Female",1482
"Machinery Operators and Drivers","Tukituki","North Island general electorates","Female",261
"Labourers","Tukituki","North Island general electorates","Female",2322
"Not Elsewhere Included(4)","Tukituki","North Island general electorates","Female",798
"Managers","Upper Harbour","North Island general electorates","Female",2007
"Professionals","Upper Harbour","North Island general electorates","Female",3633
"Technicians and Trades Workers","Upper Harbour","North Island general electorates","Female",777
"Community and Personal Service Workers","Upper Harbour","North Island general electorates","Female",1770
"Clerical and Administrative Workers","Upper Harbour","North Island general electorates","Female",3174
"Sales Workers","Upper Harbour","North Island general electorates","Female",1953
"Machinery Operators and Drivers","Upper Harbour","North Island general electorates","Female",255
"Labourers","Upper Harbour","North Island general electorates","Female",753
"Not Elsewhere Included(4)","Upper Harbour","North Island general electorates","Female",600
"Managers","Waikato","North Island general electorates","Female",2718
"Professionals","Waikato","North Island general electorates","Female",3327
"Technicians and Trades Workers","Waikato","North Island general electorates","Female",888
"Community and Personal Service Workers","Waikato","North Island general electorates","Female",1716
"Clerical and Administrative Workers","Waikato","North Island general electorates","Female",2973
"Sales Workers","Waikato","North Island general electorates","Female",1494
"Machinery Operators and Drivers","Waikato","North Island general electorates","Female",255
"Labourers","Waikato","North Island general electorates","Female",1779
"Not Elsewhere Included(4)","Waikato","North Island general electorates","Female",831
"Managers","Wairarapa","North Island general electorates","Female",2193
"Professionals","Wairarapa","North Island general electorates","Female",3081
"Technicians and Trades Workers","Wairarapa","North Island general electorates","Female",807
"Community and Personal Service Workers","Wairarapa","North Island general electorates","Female",2103
"Clerical and Administrative Workers","Wairarapa","North Island general electorates","Female",2418
"Sales Workers","Wairarapa","North Island general electorates","Female",1518
"Machinery Operators and Drivers","Wairarapa","North Island general electorates","Female",213
"Labourers","Wairarapa","North Island general electorates","Female",1971
"Not Elsewhere Included(4)","Wairarapa","North Island general electorates","Female",729
"Managers","Wellington Central","North Island general electorates","Female",2535
"Professionals","Wellington Central","North Island general electorates","Female",6972
"Technicians and Trades Workers","Wellington Central","North Island general electorates","Female",609
"Community and Personal Service Workers","Wellington Central","North Island general electorates","Female",1956
"Clerical and Administrative Workers","Wellington Central","North Island general electorates","Female",3033
"Sales Workers","Wellington Central","North Island general electorates","Female",1683
"Machinery Operators and Drivers","Wellington Central","North Island general electorates","Female",84
"Labourers","Wellington Central","North Island general electorates","Female",477
"Not Elsewhere Included(4)","Wellington Central","North Island general electorates","Female",924
"Managers","Whanganui","North Island general electorates","Female",2118
"Professionals","Whanganui","North Island general electorates","Female",2967
"Technicians and Trades Workers","Whanganui","North Island general electorates","Female",771
"Community and Personal Service Workers","Whanganui","North Island general electorates","Female",2160
"Clerical and Administrative Workers","Whanganui","North Island general electorates","Female",2382
"Sales Workers","Whanganui","North Island general electorates","Female",1551
"Machinery Operators and Drivers","Whanganui","North Island general electorates","Female",216
"Labourers","Whanganui","North Island general electorates","Female",1920
"Not Elsewhere Included(4)","Whanganui","North Island general electorates","Female",870
"Managers","Whangarei","North Island general electorates","Female",1878
"Professionals","Whangarei","North Island general electorates","Female",3996
"Technicians and Trades Workers","Whangarei","North Island general electorates","Female",726
"Community and Personal Service Workers","Whangarei","North Island general electorates","Female",2103
"Clerical and Administrative Workers","Whangarei","North Island general electorates","Female",2856
"Sales Workers","Whangarei","North Island general electorates","Female",1608
"Machinery Operators and Drivers","Whangarei","North Island general electorates","Female",183
"Labourers","Whangarei","North Island general electorates","Female",1065
"Not Elsewhere Included(4)","Whangarei","North Island general electorates","Female",594
"Managers","Christchurch Central","South Island general electorates","Female",1689
"Professionals","Christchurch Central","South Island general electorates","Female",4347
"Technicians and Trades Workers","Christchurch Central","South Island general electorates","Female",816
"Community and Personal Service Workers","Christchurch Central","South Island general electorates","Female",2247
"Clerical and Administrative Workers","Christchurch Central","South Island general electorates","Female",2769
"Sales Workers","Christchurch Central","South Island general electorates","Female",1977
"Machinery Operators and Drivers","Christchurch Central","South Island general electorates","Female",291
"Labourers","Christchurch Central","South Island general electorates","Female",1119
"Not Elsewhere Included(4)","Christchurch Central","South Island general electorates","Female",606
"Managers","Christchurch East","South Island general electorates","Female",1455
"Professionals","Christchurch East","South Island general electorates","Female",3168
"Technicians and Trades Workers","Christchurch East","South Island general electorates","Female",792
"Community and Personal Service Workers","Christchurch East","South Island general electorates","Female",2145
"Clerical and Administrative Workers","Christchurch East","South Island general electorates","Female",3021
"Sales Workers","Christchurch East","South Island general electorates","Female",1902
"Machinery Operators and Drivers","Christchurch East","South Island general electorates","Female",363
"Labourers","Christchurch East","South Island general electorates","Female",1278
"Not Elsewhere Included(4)","Christchurch East","South Island general electorates","Female",534
"Managers","Clutha-Southland","South Island general electorates","Female",3162
"Professionals","Clutha-Southland","South Island general electorates","Female",2580
"Technicians and Trades Workers","Clutha-Southland","South Island general electorates","Female",936
"Community and Personal Service Workers","Clutha-Southland","South Island general electorates","Female",2109
"Clerical and Administrative Workers","Clutha-Southland","South Island general electorates","Female",2469
"Sales Workers","Clutha-Southland","South Island general electorates","Female",1845
"Machinery Operators and Drivers","Clutha-Southland","South Island general electorates","Female",264
"Labourers","Clutha-Southland","South Island general electorates","Female",2337
"Not Elsewhere Included(4)","Clutha-Southland","South Island general electorates","Female",723
"Managers","Dunedin North","South Island general electorates","Female",1521
"Professionals","Dunedin North","South Island general electorates","Female",4137
"Technicians and Trades Workers","Dunedin North","South Island general electorates","Female",624
"Community and Personal Service Workers","Dunedin North","South Island general electorates","Female",2010
"Clerical and Administrative Workers","Dunedin North","South Island general electorates","Female",2106
"Sales Workers","Dunedin North","South Island general electorates","Female",1635
"Machinery Operators and Drivers","Dunedin North","South Island general electorates","Female",132
"Labourers","Dunedin North","South Island general electorates","Female",1149
"Not Elsewhere Included(4)","Dunedin North","South Island general electorates","Female",528
"Managers","Dunedin South","South Island general electorates","Female",1722
"Professionals","Dunedin South","South Island general electorates","Female",3561
"Technicians and Trades Workers","Dunedin South","South Island general electorates","Female",741
"Community and Personal Service Workers","Dunedin South","South Island general electorates","Female",2091
"Clerical and Administrative Workers","Dunedin South","South Island general electorates","Female",2877
"Sales Workers","Dunedin South","South Island general electorates","Female",1608
"Machinery Operators and Drivers","Dunedin South","South Island general electorates","Female",222
"Labourers","Dunedin South","South Island general electorates","Female",1197
"Not Elsewhere Included(4)","Dunedin South","South Island general electorates","Female",558
"Managers","Ilam","South Island general electorates","Female",1665
"Professionals","Ilam","South Island general electorates","Female",4317
"Technicians and Trades Workers","Ilam","South Island general electorates","Female",597
"Community and Personal Service Workers","Ilam","South Island general electorates","Female",1785
"Clerical and Administrative Workers","Ilam","South Island general electorates","Female",2790
"Sales Workers","Ilam","South Island general electorates","Female",1869
"Machinery Operators and Drivers","Ilam","South Island general electorates","Female",162
"Labourers","Ilam","South Island general electorates","Female",849
"Not Elsewhere Included(4)","Ilam","South Island general electorates","Female",492
"Managers","Invercargill","South Island general electorates","Female",1965
"Professionals","Invercargill","South Island general electorates","Female",3282
"Technicians and Trades Workers","Invercargill","South Island general electorates","Female",837
"Community and Personal Service Workers","Invercargill","South Island general electorates","Female",2085
"Clerical and Administrative Workers","Invercargill","South Island general electorates","Female",2619
"Sales Workers","Invercargill","South Island general electorates","Female",1755
"Machinery Operators and Drivers","Invercargill","South Island general electorates","Female",228
"Labourers","Invercargill","South Island general electorates","Female",1980
"Not Elsewhere Included(4)","Invercargill","South Island general electorates","Female",591
"Managers","Kaikoura","South Island general electorates","Female",2502
"Professionals","Kaikoura","South Island general electorates","Female",2724
"Technicians and Trades Workers","Kaikoura","South Island general electorates","Female",876
"Community and Personal Service Workers","Kaikoura","South Island general electorates","Female",1992
"Clerical and Administrative Workers","Kaikoura","South Island general electorates","Female",2469
"Sales Workers","Kaikoura","South Island general electorates","Female",1578
"Machinery Operators and Drivers","Kaikoura","South Island general electorates","Female",222
"Labourers","Kaikoura","South Island general electorates","Female",2235
"Not Elsewhere Included(4)","Kaikoura","South Island general electorates","Female",666
"Managers","Nelson","South Island general electorates","Female",1776
"Professionals","Nelson","South Island general electorates","Female",3579
"Technicians and Trades Workers","Nelson","South Island general electorates","Female",768
"Community and Personal Service Workers","Nelson","South Island general electorates","Female",2127
"Clerical and Administrative Workers","Nelson","South Island general electorates","Female",2628
"Sales Workers","Nelson","South Island general electorates","Female",1779
"Machinery Operators and Drivers","Nelson","South Island general electorates","Female",207
"Labourers","Nelson","South Island general electorates","Female",1473
"Not Elsewhere Included(4)","Nelson","South Island general electorates","Female",456
"Managers","Port Hills","South Island general electorates","Female",1872
"Professionals","Port Hills","South Island general electorates","Female",5028
"Technicians and Trades Workers","Port Hills","South Island general electorates","Female",765
"Community and Personal Service Workers","Port Hills","South Island general electorates","Female",1785
"Clerical and Administrative Workers","Port Hills","South Island general electorates","Female",3120
"Sales Workers","Port Hills","South Island general electorates","Female",1743
"Machinery Operators and Drivers","Port Hills","South Island general electorates","Female",216
"Labourers","Port Hills","South Island general electorates","Female",927
"Not Elsewhere Included(4)","Port Hills","South Island general electorates","Female",489
"Managers","Rangitata","South Island general electorates","Female",1842
"Professionals","Rangitata","South Island general electorates","Female",2622
"Technicians and Trades Workers","Rangitata","South Island general electorates","Female",843
"Community and Personal Service Workers","Rangitata","South Island general electorates","Female",1971
"Clerical and Administrative Workers","Rangitata","South Island general electorates","Female",2625
"Sales Workers","Rangitata","South Island general electorates","Female",1905
"Machinery Operators and Drivers","Rangitata","South Island general electorates","Female",267
"Labourers","Rangitata","South Island general electorates","Female",2166
"Not Elsewhere Included(4)","Rangitata","South Island general electorates","Female",570
"Managers","Selwyn","South Island general electorates","Female",2307
"Professionals","Selwyn","South Island general electorates","Female",3420
"Technicians and Trades Workers","Selwyn","South Island general electorates","Female",837
"Community and Personal Service Workers","Selwyn","South Island general electorates","Female",1623
"Clerical and Administrative Workers","Selwyn","South Island general electorates","Female",3006
"Sales Workers","Selwyn","South Island general electorates","Female",1350
"Machinery Operators and Drivers","Selwyn","South Island general electorates","Female",261
"Labourers","Selwyn","South Island general electorates","Female",1458
"Not Elsewhere Included(4)","Selwyn","South Island general electorates","Female",543
"Managers","Waimakariri","South Island general electorates","Female",1695
"Professionals","Waimakariri","South Island general electorates","Female",2913
"Technicians and Trades Workers","Waimakariri","South Island general electorates","Female",840
"Community and Personal Service Workers","Waimakariri","South Island general electorates","Female",1809
"Clerical and Administrative Workers","Waimakariri","South Island general electorates","Female",3111
"Sales Workers","Waimakariri","South Island general electorates","Female",1743
"Machinery Operators and Drivers","Waimakariri","South Island general electorates","Female",291
"Labourers","Waimakariri","South Island general electorates","Female",1272
"Not Elsewhere Included(4)","Waimakariri","South Island general electorates","Female",531
"Managers","Waitaki","South Island general electorates","Female",2583
"Professionals","Waitaki","South Island general electorates","Female",2688
"Technicians and Trades Workers","Waitaki","South Island general electorates","Female",900
"Community and Personal Service Workers","Waitaki","South Island general electorates","Female",1992
"Clerical and Administrative Workers","Waitaki","South Island general electorates","Female",2457
"Sales Workers","Waitaki","South Island general electorates","Female",1746
"Machinery Operators and Drivers","Waitaki","South Island general electorates","Female",237
"Labourers","Waitaki","South Island general electorates","Female",2181
"Not Elsewhere Included(4)","Waitaki","South Island general electorates","Female",699
"Managers","West Coast-Tasman","South Island general electorates","Female",2292
"Professionals","West Coast-Tasman","South Island general electorates","Female",2721
"Technicians and Trades Workers","West Coast-Tasman","South Island general electorates","Female",825
"Community and Personal Service Workers","West Coast-Tasman","South Island general electorates","Female",1899
"Clerical and Administrative Workers","West Coast-Tasman","South Island general electorates","Female",2358
"Sales Workers","West Coast-Tasman","South Island general electorates","Female",1467
"Machinery Operators and Drivers","West Coast-Tasman","South Island general electorates","Female",261
"Labourers","West Coast-Tasman","South Island general electorates","Female",2088
"Not Elsewhere Included(4)","West Coast-Tasman","South Island general electorates","Female",669
"Managers","Wigram","South Island general electorates","Female",1296
"Professionals","Wigram","South Island general electorates","Female",3090
"Technicians and Trades Workers","Wigram","South Island general electorates","Female",732
"Community and Personal Service Workers","Wigram","South Island general electorates","Female",2082
"Clerical and Administrative Workers","Wigram","South Island general electorates","Female",2505
"Sales Workers","Wigram","South Island general electorates","Female",1884
"Machinery Operators and Drivers","Wigram","South Island general electorates","Female",348
"Labourers","Wigram","South Island general electorates","Female",1461
"Not Elsewhere Included(4)","Wigram","South Island general electorates","Female",567
"Managers","Area Outside General Electorate","South Island general electorates","Female",NA
"Professionals","Area Outside General Electorate","South Island general electorates","Female",NA
"Technicians and Trades Workers","Area Outside General Electorate","South Island general electorates","Female",NA
"Community and Personal Service Workers","Area Outside General Electorate","South Island general electorates","Female",NA
"Clerical and Administrative Workers","Area Outside General Electorate","South Island general electorates","Female",NA
"Sales Workers","Area Outside General Electorate","South Island general electorates","Female",NA
"Machinery Operators and Drivers","Area Outside General Electorate","South Island general electorates","Female",NA
"Labourers","Area Outside General Electorate","South Island general electorates","Female",NA
"Not Elsewhere Included(4)","Area Outside General Electorate","South Island general electorates","Female",NA
