"level0","level1","level2","Family type and number of dependent children in family(1)","count"
"Two dependent children","Wigram","South Island general electorates","One parent with child(ren)",1566
"Three dependent children","Wigram","South Island general electorates","One parent with child(ren)",600
"Four or more dependent children","Wigram","South Island general electorates","One parent with child(ren)",336
"Number of dependent children unknown","Wigram","South Island general electorates","One parent with child(ren)",87
"No dependent children(3)","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"One dependent child","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Two dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Three dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Four or more dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Number of dependent children unknown","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
