"level0","level1","level2","Years at usual residence","count"
"Male","35–39 Years","Hauraki-Waikato","10–14 Years",171
"Female","35–39 Years","Hauraki-Waikato","10–14 Years",261
"Male","40–44 Years","Hauraki-Waikato","10–14 Years",273
"Female","40–44 Years","Hauraki-Waikato","10–14 Years",390
"Male","45–49 Years","Hauraki-Waikato","10–14 Years",303
"Female","45–49 Years","Hauraki-Waikato","10–14 Years",381
"Male","50–54 Years","Hauraki-Waikato","10–14 Years",297
"Female","50–54 Years","Hauraki-Waikato","10–14 Years",369
"Male","55–59 Years","Hauraki-Waikato","10–14 Years",237
"Female","55–59 Years","Hauraki-Waikato","10–14 Years",267
"Male","60–64 Years","Hauraki-Waikato","10–14 Years",177
"Female","60–64 Years","Hauraki-Waikato","10–14 Years",198
"Male","65–69 Years","Hauraki-Waikato","10–14 Years",123
"Female","65–69 Years","Hauraki-Waikato","10–14 Years",123
"Male","70–74 Years","Hauraki-Waikato","10–14 Years",54
"Female","70–74 Years","Hauraki-Waikato","10–14 Years",96
"Male","75–79 Years","Hauraki-Waikato","10–14 Years",33
"Female","75–79 Years","Hauraki-Waikato","10–14 Years",48
"Male","80–84 Years","Hauraki-Waikato","10–14 Years",21
"Female","80–84 Years","Hauraki-Waikato","10–14 Years",27
"Male","85 Years And Over","Hauraki-Waikato","10–14 Years",6
"Female","85 Years And Over","Hauraki-Waikato","10–14 Years",15
"Male","0–4 Years","Ikaroa-Rāwhiti","10–14 Years",0
"Female","0–4 Years","Ikaroa-Rāwhiti","10–14 Years",0
"Male","5–9 Years","Ikaroa-Rāwhiti","10–14 Years",0
"Female","5–9 Years","Ikaroa-Rāwhiti","10–14 Years",0
"Male","10–14 Years","Ikaroa-Rāwhiti","10–14 Years",1023
"Female","10–14 Years","Ikaroa-Rāwhiti","10–14 Years",969
"Male","15–19 Years","Ikaroa-Rāwhiti","10–14 Years",516
"Female","15–19 Years","Ikaroa-Rāwhiti","10–14 Years",468
"Male","20–24 Years","Ikaroa-Rāwhiti","10–14 Years",204
"Female","20–24 Years","Ikaroa-Rāwhiti","10–14 Years",150
"Male","25–29 Years","Ikaroa-Rāwhiti","10–14 Years",87
"Female","25–29 Years","Ikaroa-Rāwhiti","10–14 Years",63
"Male","30–34 Years","Ikaroa-Rāwhiti","10–14 Years",90
"Female","30–34 Years","Ikaroa-Rāwhiti","10–14 Years",114
"Male","35–39 Years","Ikaroa-Rāwhiti","10–14 Years",210
"Female","35–39 Years","Ikaroa-Rāwhiti","10–14 Years",273
"Male","40–44 Years","Ikaroa-Rāwhiti","10–14 Years",333
"Female","40–44 Years","Ikaroa-Rāwhiti","10–14 Years",390
"Male","45–49 Years","Ikaroa-Rāwhiti","10–14 Years",342
"Female","45–49 Years","Ikaroa-Rāwhiti","10–14 Years",411
"Male","50–54 Years","Ikaroa-Rāwhiti","10–14 Years",339
"Female","50–54 Years","Ikaroa-Rāwhiti","10–14 Years",378
"Male","55–59 Years","Ikaroa-Rāwhiti","10–14 Years",243
"Female","55–59 Years","Ikaroa-Rāwhiti","10–14 Years",231
"Male","60–64 Years","Ikaroa-Rāwhiti","10–14 Years",189
"Female","60–64 Years","Ikaroa-Rāwhiti","10–14 Years",201
"Male","65–69 Years","Ikaroa-Rāwhiti","10–14 Years",120
"Female","65–69 Years","Ikaroa-Rāwhiti","10–14 Years",132
"Male","70–74 Years","Ikaroa-Rāwhiti","10–14 Years",75
"Female","70–74 Years","Ikaroa-Rāwhiti","10–14 Years",87
"Male","75–79 Years","Ikaroa-Rāwhiti","10–14 Years",33
"Female","75–79 Years","Ikaroa-Rāwhiti","10–14 Years",57
"Male","80–84 Years","Ikaroa-Rāwhiti","10–14 Years",21
"Female","80–84 Years","Ikaroa-Rāwhiti","10–14 Years",36
"Male","85 Years And Over","Ikaroa-Rāwhiti","10–14 Years",9
"Female","85 Years And Over","Ikaroa-Rāwhiti","10–14 Years",15
"Male","0–4 Years","Tāmaki Makaurau","10–14 Years",0
"Female","0–4 Years","Tāmaki Makaurau","10–14 Years",0
"Male","5–9 Years","Tāmaki Makaurau","10–14 Years",0
"Female","5–9 Years","Tāmaki Makaurau","10–14 Years",0
"Male","10–14 Years","Tāmaki Makaurau","10–14 Years",1104
"Female","10–14 Years","Tāmaki Makaurau","10–14 Years",1134
"Male","15–19 Years","Tāmaki Makaurau","10–14 Years",597
"Female","15–19 Years","Tāmaki Makaurau","10–14 Years",549
"Male","20–24 Years","Tāmaki Makaurau","10–14 Years",315
"Female","20–24 Years","Tāmaki Makaurau","10–14 Years",294
"Male","25–29 Years","Tāmaki Makaurau","10–14 Years",114
"Female","25–29 Years","Tāmaki Makaurau","10–14 Years",117
"Male","30–34 Years","Tāmaki Makaurau","10–14 Years",108
"Female","30–34 Years","Tāmaki Makaurau","10–14 Years",156
"Male","35–39 Years","Tāmaki Makaurau","10–14 Years",168
"Female","35–39 Years","Tāmaki Makaurau","10–14 Years",267
"Male","40–44 Years","Tāmaki Makaurau","10–14 Years",282
"Female","40–44 Years","Tāmaki Makaurau","10–14 Years",441
"Male","45–49 Years","Tāmaki Makaurau","10–14 Years",369
"Female","45–49 Years","Tāmaki Makaurau","10–14 Years",474
"Male","50–54 Years","Tāmaki Makaurau","10–14 Years",345
"Female","50–54 Years","Tāmaki Makaurau","10–14 Years",384
"Male","55–59 Years","Tāmaki Makaurau","10–14 Years",231
"Female","55–59 Years","Tāmaki Makaurau","10–14 Years",282
"Male","60–64 Years","Tāmaki Makaurau","10–14 Years",174
"Female","60–64 Years","Tāmaki Makaurau","10–14 Years",177
"Male","65–69 Years","Tāmaki Makaurau","10–14 Years",111
"Female","65–69 Years","Tāmaki Makaurau","10–14 Years",123
"Male","70–74 Years","Tāmaki Makaurau","10–14 Years",75
"Female","70–74 Years","Tāmaki Makaurau","10–14 Years",72
"Male","75–79 Years","Tāmaki Makaurau","10–14 Years",36
"Female","75–79 Years","Tāmaki Makaurau","10–14 Years",51
"Male","80–84 Years","Tāmaki Makaurau","10–14 Years",9
"Female","80–84 Years","Tāmaki Makaurau","10–14 Years",33
"Male","85 Years And Over","Tāmaki Makaurau","10–14 Years",3
"Female","85 Years And Over","Tāmaki Makaurau","10–14 Years",9
"Male","0–4 Years","Te Tai Hauāuru","10–14 Years",0
"Female","0–4 Years","Te Tai Hauāuru","10–14 Years",0
"Male","5–9 Years","Te Tai Hauāuru","10–14 Years",0
"Female","5–9 Years","Te Tai Hauāuru","10–14 Years",0
"Male","10–14 Years","Te Tai Hauāuru","10–14 Years",1143
"Female","10–14 Years","Te Tai Hauāuru","10–14 Years",1062
"Male","15–19 Years","Te Tai Hauāuru","10–14 Years",576
"Female","15–19 Years","Te Tai Hauāuru","10–14 Years",507
"Male","20–24 Years","Te Tai Hauāuru","10–14 Years",216
"Female","20–24 Years","Te Tai Hauāuru","10–14 Years",153
"Male","25–29 Years","Te Tai Hauāuru","10–14 Years",84
"Female","25–29 Years","Te Tai Hauāuru","10–14 Years",57
"Male","30–34 Years","Te Tai Hauāuru","10–14 Years",102
"Female","30–34 Years","Te Tai Hauāuru","10–14 Years",141
"Male","35–39 Years","Te Tai Hauāuru","10–14 Years",204
"Female","35–39 Years","Te Tai Hauāuru","10–14 Years",318
"Male","40–44 Years","Te Tai Hauāuru","10–14 Years",336
"Female","40–44 Years","Te Tai Hauāuru","10–14 Years",447
"Male","45–49 Years","Te Tai Hauāuru","10–14 Years",354
"Female","45–49 Years","Te Tai Hauāuru","10–14 Years",414
"Male","50–54 Years","Te Tai Hauāuru","10–14 Years",363
"Female","50–54 Years","Te Tai Hauāuru","10–14 Years",393
"Male","55–59 Years","Te Tai Hauāuru","10–14 Years",240
"Female","55–59 Years","Te Tai Hauāuru","10–14 Years",264
"Male","60–64 Years","Te Tai Hauāuru","10–14 Years",174
"Female","60–64 Years","Te Tai Hauāuru","10–14 Years",183
"Male","65–69 Years","Te Tai Hauāuru","10–14 Years",117
"Female","65–69 Years","Te Tai Hauāuru","10–14 Years",114
"Male","70–74 Years","Te Tai Hauāuru","10–14 Years",102
"Female","70–74 Years","Te Tai Hauāuru","10–14 Years",96
"Male","75–79 Years","Te Tai Hauāuru","10–14 Years",45
"Female","75–79 Years","Te Tai Hauāuru","10–14 Years",60
"Male","80–84 Years","Te Tai Hauāuru","10–14 Years",27
"Female","80–84 Years","Te Tai Hauāuru","10–14 Years",42
"Male","85 Years And Over","Te Tai Hauāuru","10–14 Years",6
"Female","85 Years And Over","Te Tai Hauāuru","10–14 Years",18
"Male","0–4 Years","Te Tai Tokerau","10–14 Years",0
"Female","0–4 Years","Te Tai Tokerau","10–14 Years",0
"Male","5–9 Years","Te Tai Tokerau","10–14 Years",0
"Female","5–9 Years","Te Tai Tokerau","10–14 Years",0
"Male","10–14 Years","Te Tai Tokerau","10–14 Years",1179
"Female","10–14 Years","Te Tai Tokerau","10–14 Years",1149
"Male","15–19 Years","Te Tai Tokerau","10–14 Years",579
"Female","15–19 Years","Te Tai Tokerau","10–14 Years",573
"Male","20–24 Years","Te Tai Tokerau","10–14 Years",252
"Female","20–24 Years","Te Tai Tokerau","10–14 Years",219
"Male","25–29 Years","Te Tai Tokerau","10–14 Years",105
"Female","25–29 Years","Te Tai Tokerau","10–14 Years",84
"Male","30–34 Years","Te Tai Tokerau","10–14 Years",93
"Female","30–34 Years","Te Tai Tokerau","10–14 Years",120
"Male","35–39 Years","Te Tai Tokerau","10–14 Years",183
"Female","35–39 Years","Te Tai Tokerau","10–14 Years",264
"Male","40–44 Years","Te Tai Tokerau","10–14 Years",366
"Female","40–44 Years","Te Tai Tokerau","10–14 Years",459
"Male","45–49 Years","Te Tai Tokerau","10–14 Years",408
"Female","45–49 Years","Te Tai Tokerau","10–14 Years",477
"Male","50–54 Years","Te Tai Tokerau","10–14 Years",354
"Female","50–54 Years","Te Tai Tokerau","10–14 Years",438
"Male","55–59 Years","Te Tai Tokerau","10–14 Years",255
"Female","55–59 Years","Te Tai Tokerau","10–14 Years",312
"Male","60–64 Years","Te Tai Tokerau","10–14 Years",177
"Female","60–64 Years","Te Tai Tokerau","10–14 Years",249
"Male","65–69 Years","Te Tai Tokerau","10–14 Years",147
"Female","65–69 Years","Te Tai Tokerau","10–14 Years",189
"Male","70–74 Years","Te Tai Tokerau","10–14 Years",96
"Female","70–74 Years","Te Tai Tokerau","10–14 Years",120
"Male","75–79 Years","Te Tai Tokerau","10–14 Years",72
"Female","75–79 Years","Te Tai Tokerau","10–14 Years",90
"Male","80–84 Years","Te Tai Tokerau","10–14 Years",24
"Female","80–84 Years","Te Tai Tokerau","10–14 Years",39
"Male","85 Years And Over","Te Tai Tokerau","10–14 Years",18
"Female","85 Years And Over","Te Tai Tokerau","10–14 Years",21
"Male","0–4 Years","Te Tai Tonga","10–14 Years",0
"Female","0–4 Years","Te Tai Tonga","10–14 Years",0
"Male","5–9 Years","Te Tai Tonga","10–14 Years",0
"Female","5–9 Years","Te Tai Tonga","10–14 Years",0
"Male","10–14 Years","Te Tai Tonga","10–14 Years",1353
"Female","10–14 Years","Te Tai Tonga","10–14 Years",1368
"Male","15–19 Years","Te Tai Tonga","10–14 Years",684
"Female","15–19 Years","Te Tai Tonga","10–14 Years",588
"Male","20–24 Years","Te Tai Tonga","10–14 Years",249
"Female","20–24 Years","Te Tai Tonga","10–14 Years",204
"Male","25–29 Years","Te Tai Tonga","10–14 Years",93
"Female","25–29 Years","Te Tai Tonga","10–14 Years",54
"Male","30–34 Years","Te Tai Tonga","10–14 Years",93
"Female","30–34 Years","Te Tai Tonga","10–14 Years",153
"Male","35–39 Years","Te Tai Tonga","10–14 Years",234
"Female","35–39 Years","Te Tai Tonga","10–14 Years",345
"Male","40–44 Years","Te Tai Tonga","10–14 Years",486
"Female","40–44 Years","Te Tai Tonga","10–14 Years",591
"Male","45–49 Years","Te Tai Tonga","10–14 Years",540
"Female","45–49 Years","Te Tai Tonga","10–14 Years",543
"Male","50–54 Years","Te Tai Tonga","10–14 Years",426
"Female","50–54 Years","Te Tai Tonga","10–14 Years",468
"Male","55–59 Years","Te Tai Tonga","10–14 Years",282
"Female","55–59 Years","Te Tai Tonga","10–14 Years",312
"Male","60–64 Years","Te Tai Tonga","10–14 Years",243
"Female","60–64 Years","Te Tai Tonga","10–14 Years",222
"Male","65–69 Years","Te Tai Tonga","10–14 Years",153
"Female","65–69 Years","Te Tai Tonga","10–14 Years",144
"Male","70–74 Years","Te Tai Tonga","10–14 Years",108
"Female","70–74 Years","Te Tai Tonga","10–14 Years",102
"Male","75–79 Years","Te Tai Tonga","10–14 Years",51
"Female","75–79 Years","Te Tai Tonga","10–14 Years",66
"Male","80–84 Years","Te Tai Tonga","10–14 Years",30
"Female","80–84 Years","Te Tai Tonga","10–14 Years",39
"Male","85 Years And Over","Te Tai Tonga","10–14 Years",12
"Female","85 Years And Over","Te Tai Tonga","10–14 Years",21
"Male","0–4 Years","Waiariki","10–14 Years",0
"Female","0–4 Years","Waiariki","10–14 Years",0
"Male","5–9 Years","Waiariki","10–14 Years",0
"Female","5–9 Years","Waiariki","10–14 Years",0
"Male","10–14 Years","Waiariki","10–14 Years",957
"Female","10–14 Years","Waiariki","10–14 Years",930
"Male","15–19 Years","Waiariki","10–14 Years",477
"Female","15–19 Years","Waiariki","10–14 Years",390
"Male","20–24 Years","Waiariki","10–14 Years",171
"Female","20–24 Years","Waiariki","10–14 Years",132
"Male","25–29 Years","Waiariki","10–14 Years",63
"Female","25–29 Years","Waiariki","10–14 Years",72
"Male","30–34 Years","Waiariki","10–14 Years",96
"Female","30–34 Years","Waiariki","10–14 Years",105
"Male","35–39 Years","Waiariki","10–14 Years",156
"Female","35–39 Years","Waiariki","10–14 Years",261
"Male","40–44 Years","Waiariki","10–14 Years",261
"Female","40–44 Years","Waiariki","10–14 Years",351
"Male","45–49 Years","Waiariki","10–14 Years",300
"Female","45–49 Years","Waiariki","10–14 Years",336
"Male","50–54 Years","Waiariki","10–14 Years",315
"Female","50–54 Years","Waiariki","10–14 Years",318
"Male","55–59 Years","Waiariki","10–14 Years",225
"Female","55–59 Years","Waiariki","10–14 Years",294
"Male","60–64 Years","Waiariki","10–14 Years",198
"Female","60–64 Years","Waiariki","10–14 Years",195
"Male","65–69 Years","Waiariki","10–14 Years",120
"Female","65–69 Years","Waiariki","10–14 Years",150
"Male","70–74 Years","Waiariki","10–14 Years",102
"Female","70–74 Years","Waiariki","10–14 Years",93
"Male","75–79 Years","Waiariki","10–14 Years",57
"Female","75–79 Years","Waiariki","10–14 Years",75
"Male","80–84 Years","Waiariki","10–14 Years",24
"Female","80–84 Years","Waiariki","10–14 Years",42
"Male","85 Years And Over","Waiariki","10–14 Years",9
"Female","85 Years And Over","Waiariki","10–14 Years",24
"Male","0–4 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","0–4 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","5–9 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","5–9 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","10–14 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","10–14 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","15–19 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","15–19 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","20–24 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","20–24 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","25–29 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","25–29 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","30–34 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","30–34 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","35–39 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","35–39 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","40–44 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","40–44 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","45–49 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","45–49 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","50–54 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","50–54 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","55–59 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","55–59 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","60–64 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","60–64 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","65–69 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","65–69 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","70–74 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","70–74 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","75–79 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","75–79 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","80–84 Years","Area Outside Māori Electorate","10–14 Years",NA
"Female","80–84 Years","Area Outside Māori Electorate","10–14 Years",NA
"Male","85 Years And Over","Area Outside Māori Electorate","10–14 Years",NA
"Female","85 Years And Over","Area Outside Māori Electorate","10–14 Years",NA
"Male","0–4 Years","Hauraki-Waikato","15–19 Years",0
"Female","0–4 Years","Hauraki-Waikato","15–19 Years",0
"Male","5–9 Years","Hauraki-Waikato","15–19 Years",0
"Female","5–9 Years","Hauraki-Waikato","15–19 Years",0
"Male","10–14 Years","Hauraki-Waikato","15–19 Years",0
"Female","10–14 Years","Hauraki-Waikato","15–19 Years",0
"Male","15–19 Years","Hauraki-Waikato","15–19 Years",597
"Female","15–19 Years","Hauraki-Waikato","15–19 Years",513
"Male","20–24 Years","Hauraki-Waikato","15–19 Years",141
"Female","20–24 Years","Hauraki-Waikato","15–19 Years",123
"Male","25–29 Years","Hauraki-Waikato","15–19 Years",51
"Female","25–29 Years","Hauraki-Waikato","15–19 Years",45
"Male","30–34 Years","Hauraki-Waikato","15–19 Years",39
"Female","30–34 Years","Hauraki-Waikato","15–19 Years",24
"Male","35–39 Years","Hauraki-Waikato","15–19 Years",42
"Female","35–39 Years","Hauraki-Waikato","15–19 Years",69
"Male","40–44 Years","Hauraki-Waikato","15–19 Years",96
"Female","40–44 Years","Hauraki-Waikato","15–19 Years",144
"Male","45–49 Years","Hauraki-Waikato","15–19 Years",135
"Female","45–49 Years","Hauraki-Waikato","15–19 Years",207
"Male","50–54 Years","Hauraki-Waikato","15–19 Years",171
"Female","50–54 Years","Hauraki-Waikato","15–19 Years",228
"Male","55–59 Years","Hauraki-Waikato","15–19 Years",144
"Female","55–59 Years","Hauraki-Waikato","15–19 Years",150
"Male","60–64 Years","Hauraki-Waikato","15–19 Years",114
"Female","60–64 Years","Hauraki-Waikato","15–19 Years",111
"Male","65–69 Years","Hauraki-Waikato","15–19 Years",81
"Female","65–69 Years","Hauraki-Waikato","15–19 Years",75
"Male","70–74 Years","Hauraki-Waikato","15–19 Years",42
"Female","70–74 Years","Hauraki-Waikato","15–19 Years",39
"Male","75–79 Years","Hauraki-Waikato","15–19 Years",24
"Female","75–79 Years","Hauraki-Waikato","15–19 Years",30
"Male","80–84 Years","Hauraki-Waikato","15–19 Years",9
"Female","80–84 Years","Hauraki-Waikato","15–19 Years",15
"Male","85 Years And Over","Hauraki-Waikato","15–19 Years",0
"Female","85 Years And Over","Hauraki-Waikato","15–19 Years",9
"Male","0–4 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Female","0–4 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Male","5–9 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Female","5–9 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Male","10–14 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Female","10–14 Years","Ikaroa-Rāwhiti","15–19 Years",0
"Male","15–19 Years","Ikaroa-Rāwhiti","15–19 Years",591
"Female","15–19 Years","Ikaroa-Rāwhiti","15–19 Years",558
"Male","20–24 Years","Ikaroa-Rāwhiti","15–19 Years",141
"Female","20–24 Years","Ikaroa-Rāwhiti","15–19 Years",117
"Male","25–29 Years","Ikaroa-Rāwhiti","15–19 Years",39
"Female","25–29 Years","Ikaroa-Rāwhiti","15–19 Years",36
"Male","30–34 Years","Ikaroa-Rāwhiti","15–19 Years",36
"Female","30–34 Years","Ikaroa-Rāwhiti","15–19 Years",27
"Male","35–39 Years","Ikaroa-Rāwhiti","15–19 Years",51
"Female","35–39 Years","Ikaroa-Rāwhiti","15–19 Years",78
"Male","40–44 Years","Ikaroa-Rāwhiti","15–19 Years",105
"Female","40–44 Years","Ikaroa-Rāwhiti","15–19 Years",186
"Male","45–49 Years","Ikaroa-Rāwhiti","15–19 Years",153
"Female","45–49 Years","Ikaroa-Rāwhiti","15–19 Years",198
"Male","50–54 Years","Ikaroa-Rāwhiti","15–19 Years",174
"Female","50–54 Years","Ikaroa-Rāwhiti","15–19 Years",246
"Male","55–59 Years","Ikaroa-Rāwhiti","15–19 Years",147
"Female","55–59 Years","Ikaroa-Rāwhiti","15–19 Years",147
"Male","60–64 Years","Ikaroa-Rāwhiti","15–19 Years",105
"Female","60–64 Years","Ikaroa-Rāwhiti","15–19 Years",105
"Male","65–69 Years","Ikaroa-Rāwhiti","15–19 Years",87
"Female","65–69 Years","Ikaroa-Rāwhiti","15–19 Years",84
"Male","70–74 Years","Ikaroa-Rāwhiti","15–19 Years",36
"Female","70–74 Years","Ikaroa-Rāwhiti","15–19 Years",48
"Male","75–79 Years","Ikaroa-Rāwhiti","15–19 Years",24
"Female","75–79 Years","Ikaroa-Rāwhiti","15–19 Years",30
"Male","80–84 Years","Ikaroa-Rāwhiti","15–19 Years",6
"Female","80–84 Years","Ikaroa-Rāwhiti","15–19 Years",12
"Male","85 Years And Over","Ikaroa-Rāwhiti","15–19 Years",3
"Female","85 Years And Over","Ikaroa-Rāwhiti","15–19 Years",9
"Male","0–4 Years","Tāmaki Makaurau","15–19 Years",0
"Female","0–4 Years","Tāmaki Makaurau","15–19 Years",0
"Male","5–9 Years","Tāmaki Makaurau","15–19 Years",0
"Female","5–9 Years","Tāmaki Makaurau","15–19 Years",0
"Male","10–14 Years","Tāmaki Makaurau","15–19 Years",0
"Female","10–14 Years","Tāmaki Makaurau","15–19 Years",0
"Male","15–19 Years","Tāmaki Makaurau","15–19 Years",783
"Female","15–19 Years","Tāmaki Makaurau","15–19 Years",765
"Male","20–24 Years","Tāmaki Makaurau","15–19 Years",243
"Female","20–24 Years","Tāmaki Makaurau","15–19 Years",192
"Male","25–29 Years","Tāmaki Makaurau","15–19 Years",102
"Female","25–29 Years","Tāmaki Makaurau","15–19 Years",87
"Male","30–34 Years","Tāmaki Makaurau","15–19 Years",48
"Female","30–34 Years","Tāmaki Makaurau","15–19 Years",42
"Male","35–39 Years","Tāmaki Makaurau","15–19 Years",66
"Female","35–39 Years","Tāmaki Makaurau","15–19 Years",84
"Male","40–44 Years","Tāmaki Makaurau","15–19 Years",108
"Female","40–44 Years","Tāmaki Makaurau","15–19 Years",168
"Male","45–49 Years","Tāmaki Makaurau","15–19 Years",153
"Female","45–49 Years","Tāmaki Makaurau","15–19 Years",246
"Male","50–54 Years","Tāmaki Makaurau","15–19 Years",198
"Female","50–54 Years","Tāmaki Makaurau","15–19 Years",258
"Male","55–59 Years","Tāmaki Makaurau","15–19 Years",153
"Female","55–59 Years","Tāmaki Makaurau","15–19 Years",219
"Male","60–64 Years","Tāmaki Makaurau","15–19 Years",99
"Female","60–64 Years","Tāmaki Makaurau","15–19 Years",123
"Male","65–69 Years","Tāmaki Makaurau","15–19 Years",75
"Female","65–69 Years","Tāmaki Makaurau","15–19 Years",81
"Male","70–74 Years","Tāmaki Makaurau","15–19 Years",36
"Female","70–74 Years","Tāmaki Makaurau","15–19 Years",48
"Male","75–79 Years","Tāmaki Makaurau","15–19 Years",24
"Female","75–79 Years","Tāmaki Makaurau","15–19 Years",24
"Male","80–84 Years","Tāmaki Makaurau","15–19 Years",12
"Female","80–84 Years","Tāmaki Makaurau","15–19 Years",18
"Male","85 Years And Over","Tāmaki Makaurau","15–19 Years",6
"Female","85 Years And Over","Tāmaki Makaurau","15–19 Years",6
"Male","0–4 Years","Te Tai Hauāuru","15–19 Years",0
"Female","0–4 Years","Te Tai Hauāuru","15–19 Years",0
"Male","5–9 Years","Te Tai Hauāuru","15–19 Years",0
"Female","5–9 Years","Te Tai Hauāuru","15–19 Years",0
"Male","10–14 Years","Te Tai Hauāuru","15–19 Years",0
"Female","10–14 Years","Te Tai Hauāuru","15–19 Years",0
"Male","15–19 Years","Te Tai Hauāuru","15–19 Years",666
"Female","15–19 Years","Te Tai Hauāuru","15–19 Years",594
"Male","20–24 Years","Te Tai Hauāuru","15–19 Years",153
"Female","20–24 Years","Te Tai Hauāuru","15–19 Years",111
"Male","25–29 Years","Te Tai Hauāuru","15–19 Years",48
"Female","25–29 Years","Te Tai Hauāuru","15–19 Years",36
"Male","30–34 Years","Te Tai Hauāuru","15–19 Years",36
"Female","30–34 Years","Te Tai Hauāuru","15–19 Years",21
"Male","35–39 Years","Te Tai Hauāuru","15–19 Years",57
"Female","35–39 Years","Te Tai Hauāuru","15–19 Years",84
"Male","40–44 Years","Te Tai Hauāuru","15–19 Years",129
"Female","40–44 Years","Te Tai Hauāuru","15–19 Years",192
"Male","45–49 Years","Te Tai Hauāuru","15–19 Years",183
"Female","45–49 Years","Te Tai Hauāuru","15–19 Years",228
"Male","50–54 Years","Te Tai Hauāuru","15–19 Years",189
"Female","50–54 Years","Te Tai Hauāuru","15–19 Years",231
"Male","55–59 Years","Te Tai Hauāuru","15–19 Years",150
"Female","55–59 Years","Te Tai Hauāuru","15–19 Years",153
"Male","60–64 Years","Te Tai Hauāuru","15–19 Years",105
"Female","60–64 Years","Te Tai Hauāuru","15–19 Years",126
"Male","65–69 Years","Te Tai Hauāuru","15–19 Years",57
"Female","65–69 Years","Te Tai Hauāuru","15–19 Years",69
"Male","70–74 Years","Te Tai Hauāuru","15–19 Years",33
"Female","70–74 Years","Te Tai Hauāuru","15–19 Years",69
"Male","75–79 Years","Te Tai Hauāuru","15–19 Years",36
"Female","75–79 Years","Te Tai Hauāuru","15–19 Years",33
"Male","80–84 Years","Te Tai Hauāuru","15–19 Years",15
"Female","80–84 Years","Te Tai Hauāuru","15–19 Years",15
"Male","85 Years And Over","Te Tai Hauāuru","15–19 Years",6
"Female","85 Years And Over","Te Tai Hauāuru","15–19 Years",15
"Male","0–4 Years","Te Tai Tokerau","15–19 Years",0
"Female","0–4 Years","Te Tai Tokerau","15–19 Years",0
"Male","5–9 Years","Te Tai Tokerau","15–19 Years",0
"Female","5–9 Years","Te Tai Tokerau","15–19 Years",0
"Male","10–14 Years","Te Tai Tokerau","15–19 Years",0
"Female","10–14 Years","Te Tai Tokerau","15–19 Years",0
"Male","15–19 Years","Te Tai Tokerau","15–19 Years",753
"Female","15–19 Years","Te Tai Tokerau","15–19 Years",660
"Male","20–24 Years","Te Tai Tokerau","15–19 Years",192
"Female","20–24 Years","Te Tai Tokerau","15–19 Years",165
"Male","25–29 Years","Te Tai Tokerau","15–19 Years",72
"Female","25–29 Years","Te Tai Tokerau","15–19 Years",45
"Male","30–34 Years","Te Tai Tokerau","15–19 Years",30
"Female","30–34 Years","Te Tai Tokerau","15–19 Years",39
"Male","35–39 Years","Te Tai Tokerau","15–19 Years",60
"Female","35–39 Years","Te Tai Tokerau","15–19 Years",84
"Male","40–44 Years","Te Tai Tokerau","15–19 Years",123
"Female","40–44 Years","Te Tai Tokerau","15–19 Years",174
"Male","45–49 Years","Te Tai Tokerau","15–19 Years",204
"Female","45–49 Years","Te Tai Tokerau","15–19 Years",273
"Male","50–54 Years","Te Tai Tokerau","15–19 Years",249
