"level0","level1","level2","level3","Work and labour force status(1)","count"
"Female","25–29 Years","Manukau East","North Island general electorates","Not in Labour Force",825
"Male","30–34 Years","Manukau East","North Island general electorates","Not in Labour Force",333
"Female","30–34 Years","Manukau East","North Island general electorates","Not in Labour Force",774
"Male","35–39 Years","Manukau East","North Island general electorates","Not in Labour Force",345
"Female","35–39 Years","Manukau East","North Island general electorates","Not in Labour Force",684
"Male","40–44 Years","Manukau East","North Island general electorates","Not in Labour Force",336
"Female","40–44 Years","Manukau East","North Island general electorates","Not in Labour Force",654
"Male","45–49 Years","Manukau East","North Island general electorates","Not in Labour Force",396
"Female","45–49 Years","Manukau East","North Island general electorates","Not in Labour Force",543
"Male","50–54 Years","Manukau East","North Island general electorates","Not in Labour Force",423
"Female","50–54 Years","Manukau East","North Island general electorates","Not in Labour Force",618
"Male","55–59 Years","Manukau East","North Island general electorates","Not in Labour Force",408
"Female","55–59 Years","Manukau East","North Island general electorates","Not in Labour Force",576
"Male","60–64 Years","Manukau East","North Island general electorates","Not in Labour Force",495
"Female","60–64 Years","Manukau East","North Island general electorates","Not in Labour Force",690
"Male","65–69 Years","Manukau East","North Island general electorates","Not in Labour Force",591
"Female","65–69 Years","Manukau East","North Island general electorates","Not in Labour Force",735
"Male","70–74 Years","Manukau East","North Island general electorates","Not in Labour Force",543
"Female","70–74 Years","Manukau East","North Island general electorates","Not in Labour Force",672
"Male","75–79 Years","Manukau East","North Island general electorates","Not in Labour Force",372
"Female","75–79 Years","Manukau East","North Island general electorates","Not in Labour Force",531
"Male","80–84 Years","Manukau East","North Island general electorates","Not in Labour Force",240
"Female","80–84 Years","Manukau East","North Island general electorates","Not in Labour Force",369
"Male","85 Years And Over","Manukau East","North Island general electorates","Not in Labour Force",165
"Female","85 Years And Over","Manukau East","North Island general electorates","Not in Labour Force",324
"Male","15–19 Years","Manurewa","North Island general electorates","Not in Labour Force",1722
"Female","15–19 Years","Manurewa","North Island general electorates","Not in Labour Force",1779
"Male","20–24 Years","Manurewa","North Island general electorates","Not in Labour Force",639
"Female","20–24 Years","Manurewa","North Island general electorates","Not in Labour Force",1038
"Male","25–29 Years","Manurewa","North Island general electorates","Not in Labour Force",369
"Female","25–29 Years","Manurewa","North Island general electorates","Not in Labour Force",945
"Male","30–34 Years","Manurewa","North Island general electorates","Not in Labour Force",342
"Female","30–34 Years","Manurewa","North Island general electorates","Not in Labour Force",879
"Male","35–39 Years","Manurewa","North Island general electorates","Not in Labour Force",348
"Female","35–39 Years","Manurewa","North Island general electorates","Not in Labour Force",744
"Male","40–44 Years","Manurewa","North Island general electorates","Not in Labour Force",345
"Female","40–44 Years","Manurewa","North Island general electorates","Not in Labour Force",660
"Male","45–49 Years","Manurewa","North Island general electorates","Not in Labour Force",366
"Female","45–49 Years","Manurewa","North Island general electorates","Not in Labour Force",633
"Male","50–54 Years","Manurewa","North Island general electorates","Not in Labour Force",390
"Female","50–54 Years","Manurewa","North Island general electorates","Not in Labour Force",660
"Male","55–59 Years","Manurewa","North Island general electorates","Not in Labour Force",399
"Female","55–59 Years","Manurewa","North Island general electorates","Not in Labour Force",681
"Male","60–64 Years","Manurewa","North Island general electorates","Not in Labour Force",462
"Female","60–64 Years","Manurewa","North Island general electorates","Not in Labour Force",696
"Male","65–69 Years","Manurewa","North Island general electorates","Not in Labour Force",558
"Female","65–69 Years","Manurewa","North Island general electorates","Not in Labour Force",750
"Male","70–74 Years","Manurewa","North Island general electorates","Not in Labour Force",501
"Female","70–74 Years","Manurewa","North Island general electorates","Not in Labour Force",588
"Male","75–79 Years","Manurewa","North Island general electorates","Not in Labour Force",336
"Female","75–79 Years","Manurewa","North Island general electorates","Not in Labour Force",423
"Male","80–84 Years","Manurewa","North Island general electorates","Not in Labour Force",231
"Female","80–84 Years","Manurewa","North Island general electorates","Not in Labour Force",363
"Male","85 Years And Over","Manurewa","North Island general electorates","Not in Labour Force",162
"Female","85 Years And Over","Manurewa","North Island general electorates","Not in Labour Force",288
"Male","15–19 Years","Maungakiekie","North Island general electorates","Not in Labour Force",1122
"Female","15–19 Years","Maungakiekie","North Island general electorates","Not in Labour Force",1098
"Male","20–24 Years","Maungakiekie","North Island general electorates","Not in Labour Force",456
"Female","20–24 Years","Maungakiekie","North Island general electorates","Not in Labour Force",708
"Male","25–29 Years","Maungakiekie","North Island general electorates","Not in Labour Force",291
"Female","25–29 Years","Maungakiekie","North Island general electorates","Not in Labour Force",660
"Male","30–34 Years","Maungakiekie","North Island general electorates","Not in Labour Force",261
"Female","30–34 Years","Maungakiekie","North Island general electorates","Not in Labour Force",777
"Male","35–39 Years","Maungakiekie","North Island general electorates","Not in Labour Force",264
"Female","35–39 Years","Maungakiekie","North Island general electorates","Not in Labour Force",690
"Male","40–44 Years","Maungakiekie","North Island general electorates","Not in Labour Force",270
"Female","40–44 Years","Maungakiekie","North Island general electorates","Not in Labour Force",516
"Male","45–49 Years","Maungakiekie","North Island general electorates","Not in Labour Force",246
"Female","45–49 Years","Maungakiekie","North Island general electorates","Not in Labour Force",471
"Male","50–54 Years","Maungakiekie","North Island general electorates","Not in Labour Force",324
"Female","50–54 Years","Maungakiekie","North Island general electorates","Not in Labour Force",438
"Male","55–59 Years","Maungakiekie","North Island general electorates","Not in Labour Force",336
"Female","55–59 Years","Maungakiekie","North Island general electorates","Not in Labour Force",519
"Male","60–64 Years","Maungakiekie","North Island general electorates","Not in Labour Force",447
"Female","60–64 Years","Maungakiekie","North Island general electorates","Not in Labour Force",591
"Male","65–69 Years","Maungakiekie","North Island general electorates","Not in Labour Force",561
"Female","65–69 Years","Maungakiekie","North Island general electorates","Not in Labour Force",717
"Male","70–74 Years","Maungakiekie","North Island general electorates","Not in Labour Force",552
"Female","70–74 Years","Maungakiekie","North Island general electorates","Not in Labour Force",738
"Male","75–79 Years","Maungakiekie","North Island general electorates","Not in Labour Force",477
"Female","75–79 Years","Maungakiekie","North Island general electorates","Not in Labour Force",534
"Male","80–84 Years","Maungakiekie","North Island general electorates","Not in Labour Force",321
"Female","80–84 Years","Maungakiekie","North Island general electorates","Not in Labour Force",480
"Male","85 Years And Over","Maungakiekie","North Island general electorates","Not in Labour Force",276
"Female","85 Years And Over","Maungakiekie","North Island general electorates","Not in Labour Force",603
"Male","15–19 Years","Mt Albert","North Island general electorates","Not in Labour Force",1092
"Female","15–19 Years","Mt Albert","North Island general electorates","Not in Labour Force",972
"Male","20–24 Years","Mt Albert","North Island general electorates","Not in Labour Force",687
"Female","20–24 Years","Mt Albert","North Island general electorates","Not in Labour Force",573
"Male","25–29 Years","Mt Albert","North Island general electorates","Not in Labour Force",321
"Female","25–29 Years","Mt Albert","North Island general electorates","Not in Labour Force",525
"Male","30–34 Years","Mt Albert","North Island general electorates","Not in Labour Force",252
"Female","30–34 Years","Mt Albert","North Island general electorates","Not in Labour Force",588
"Male","35–39 Years","Mt Albert","North Island general electorates","Not in Labour Force",234
"Female","35–39 Years","Mt Albert","North Island general electorates","Not in Labour Force",693
"Male","40–44 Years","Mt Albert","North Island general electorates","Not in Labour Force",216
"Female","40–44 Years","Mt Albert","North Island general electorates","Not in Labour Force",555
"Male","45–49 Years","Mt Albert","North Island general electorates","Not in Labour Force",234
"Female","45–49 Years","Mt Albert","North Island general electorates","Not in Labour Force",345
"Male","50–54 Years","Mt Albert","North Island general electorates","Not in Labour Force",249
"Female","50–54 Years","Mt Albert","North Island general electorates","Not in Labour Force",345
"Male","55–59 Years","Mt Albert","North Island general electorates","Not in Labour Force",246
"Female","55–59 Years","Mt Albert","North Island general electorates","Not in Labour Force",345
"Male","60–64 Years","Mt Albert","North Island general electorates","Not in Labour Force",297
"Female","60–64 Years","Mt Albert","North Island general electorates","Not in Labour Force",411
"Male","65–69 Years","Mt Albert","North Island general electorates","Not in Labour Force",369
"Female","65–69 Years","Mt Albert","North Island general electorates","Not in Labour Force",468
"Male","70–74 Years","Mt Albert","North Island general electorates","Not in Labour Force",405
"Female","70–74 Years","Mt Albert","North Island general electorates","Not in Labour Force",483
"Male","75–79 Years","Mt Albert","North Island general electorates","Not in Labour Force",339
"Female","75–79 Years","Mt Albert","North Island general electorates","Not in Labour Force",453
"Male","80–84 Years","Mt Albert","North Island general electorates","Not in Labour Force",267
"Female","80–84 Years","Mt Albert","North Island general electorates","Not in Labour Force",378
"Male","85 Years And Over","Mt Albert","North Island general electorates","Not in Labour Force",249
"Female","85 Years And Over","Mt Albert","North Island general electorates","Not in Labour Force",543
"Male","15–19 Years","Mt Roskill","North Island general electorates","Not in Labour Force",1398
"Female","15–19 Years","Mt Roskill","North Island general electorates","Not in Labour Force",1332
"Male","20–24 Years","Mt Roskill","North Island general electorates","Not in Labour Force",657
"Female","20–24 Years","Mt Roskill","North Island general electorates","Not in Labour Force",732
"Male","25–29 Years","Mt Roskill","North Island general electorates","Not in Labour Force",300
"Female","25–29 Years","Mt Roskill","North Island general electorates","Not in Labour Force",573
"Male","30–34 Years","Mt Roskill","North Island general electorates","Not in Labour Force",231
"Female","30–34 Years","Mt Roskill","North Island general electorates","Not in Labour Force",612
"Male","35–39 Years","Mt Roskill","North Island general electorates","Not in Labour Force",192
"Female","35–39 Years","Mt Roskill","North Island general electorates","Not in Labour Force",618
"Male","40–44 Years","Mt Roskill","North Island general electorates","Not in Labour Force",210
"Female","40–44 Years","Mt Roskill","North Island general electorates","Not in Labour Force",546
"Male","45–49 Years","Mt Roskill","North Island general electorates","Not in Labour Force",246
"Female","45–49 Years","Mt Roskill","North Island general electorates","Not in Labour Force",456
"Male","50–54 Years","Mt Roskill","North Island general electorates","Not in Labour Force",282
"Female","50–54 Years","Mt Roskill","North Island general electorates","Not in Labour Force",495
"Male","55–59 Years","Mt Roskill","North Island general electorates","Not in Labour Force",297
"Female","55–59 Years","Mt Roskill","North Island general electorates","Not in Labour Force",564
"Male","60–64 Years","Mt Roskill","North Island general electorates","Not in Labour Force",417
"Female","60–64 Years","Mt Roskill","North Island general electorates","Not in Labour Force",597
"Male","65–69 Years","Mt Roskill","North Island general electorates","Not in Labour Force",495
"Female","65–69 Years","Mt Roskill","North Island general electorates","Not in Labour Force",747
"Male","70–74 Years","Mt Roskill","North Island general electorates","Not in Labour Force",582
"Female","70–74 Years","Mt Roskill","North Island general electorates","Not in Labour Force",714
"Male","75–79 Years","Mt Roskill","North Island general electorates","Not in Labour Force",465
"Female","75–79 Years","Mt Roskill","North Island general electorates","Not in Labour Force",606
"Male","80–84 Years","Mt Roskill","North Island general electorates","Not in Labour Force",345
"Female","80–84 Years","Mt Roskill","North Island general electorates","Not in Labour Force",489
"Male","85 Years And Over","Mt Roskill","North Island general electorates","Not in Labour Force",321
"Female","85 Years And Over","Mt Roskill","North Island general electorates","Not in Labour Force",678
"Male","15–19 Years","Napier","North Island general electorates","Not in Labour Force",1176
"Female","15–19 Years","Napier","North Island general electorates","Not in Labour Force",1077
"Male","20–24 Years","Napier","North Island general electorates","Not in Labour Force",279
"Female","20–24 Years","Napier","North Island general electorates","Not in Labour Force",528
"Male","25–29 Years","Napier","North Island general electorates","Not in Labour Force",198
"Female","25–29 Years","Napier","North Island general electorates","Not in Labour Force",513
"Male","30–34 Years","Napier","North Island general electorates","Not in Labour Force",180
"Female","30–34 Years","Napier","North Island general electorates","Not in Labour Force",531
"Male","35–39 Years","Napier","North Island general electorates","Not in Labour Force",198
"Female","35–39 Years","Napier","North Island general electorates","Not in Labour Force",579
"Male","40–44 Years","Napier","North Island general electorates","Not in Labour Force",213
"Female","40–44 Years","Napier","North Island general electorates","Not in Labour Force",465
"Male","45–49 Years","Napier","North Island general electorates","Not in Labour Force",249
"Female","45–49 Years","Napier","North Island general electorates","Not in Labour Force",411
"Male","50–54 Years","Napier","North Island general electorates","Not in Labour Force",285
"Female","50–54 Years","Napier","North Island general electorates","Not in Labour Force",483
"Male","55–59 Years","Napier","North Island general electorates","Not in Labour Force",309
"Female","55–59 Years","Napier","North Island general electorates","Not in Labour Force",522
"Male","60–64 Years","Napier","North Island general electorates","Not in Labour Force",429
"Female","60–64 Years","Napier","North Island general electorates","Not in Labour Force",795
"Male","65–69 Years","Napier","North Island general electorates","Not in Labour Force",900
"Female","65–69 Years","Napier","North Island general electorates","Not in Labour Force",1278
"Male","70–74 Years","Napier","North Island general electorates","Not in Labour Force",975
"Female","70–74 Years","Napier","North Island general electorates","Not in Labour Force",1308
"Male","75–79 Years","Napier","North Island general electorates","Not in Labour Force",897
"Female","75–79 Years","Napier","North Island general electorates","Not in Labour Force",1086
"Male","80–84 Years","Napier","North Island general electorates","Not in Labour Force",678
"Female","80–84 Years","Napier","North Island general electorates","Not in Labour Force",891
"Male","85 Years And Over","Napier","North Island general electorates","Not in Labour Force",501
"Female","85 Years And Over","Napier","North Island general electorates","Not in Labour Force",972
"Male","15–19 Years","New Lynn","North Island general electorates","Not in Labour Force",1353
"Female","15–19 Years","New Lynn","North Island general electorates","Not in Labour Force",1236
"Male","20–24 Years","New Lynn","North Island general electorates","Not in Labour Force",555
"Female","20–24 Years","New Lynn","North Island general electorates","Not in Labour Force",606
"Male","25–29 Years","New Lynn","North Island general electorates","Not in Labour Force",315
"Female","25–29 Years","New Lynn","North Island general electorates","Not in Labour Force",594
"Male","30–34 Years","New Lynn","North Island general electorates","Not in Labour Force",213
"Female","30–34 Years","New Lynn","North Island general electorates","Not in Labour Force",714
"Male","35–39 Years","New Lynn","North Island general electorates","Not in Labour Force",192
"Female","35–39 Years","New Lynn","North Island general electorates","Not in Labour Force",579
"Male","40–44 Years","New Lynn","North Island general electorates","Not in Labour Force",249
"Female","40–44 Years","New Lynn","North Island general electorates","Not in Labour Force",522
"Male","45–49 Years","New Lynn","North Island general electorates","Not in Labour Force",249
"Female","45–49 Years","New Lynn","North Island general electorates","Not in Labour Force",426
"Male","50–54 Years","New Lynn","North Island general electorates","Not in Labour Force",258
"Female","50–54 Years","New Lynn","North Island general electorates","Not in Labour Force",432
"Male","55–59 Years","New Lynn","North Island general electorates","Not in Labour Force",309
"Female","55–59 Years","New Lynn","North Island general electorates","Not in Labour Force",519
"Male","60–64 Years","New Lynn","North Island general electorates","Not in Labour Force",378
"Female","60–64 Years","New Lynn","North Island general electorates","Not in Labour Force",624
"Male","65–69 Years","New Lynn","North Island general electorates","Not in Labour Force",588
"Female","65–69 Years","New Lynn","North Island general electorates","Not in Labour Force",822
"Male","70–74 Years","New Lynn","North Island general electorates","Not in Labour Force",711
"Female","70–74 Years","New Lynn","North Island general electorates","Not in Labour Force",903
"Male","75–79 Years","New Lynn","North Island general electorates","Not in Labour Force",663
"Female","75–79 Years","New Lynn","North Island general electorates","Not in Labour Force",834
"Male","80–84 Years","New Lynn","North Island general electorates","Not in Labour Force",474
"Female","80–84 Years","New Lynn","North Island general electorates","Not in Labour Force",675
"Male","85 Years And Over","New Lynn","North Island general electorates","Not in Labour Force",381
"Female","85 Years And Over","New Lynn","North Island general electorates","Not in Labour Force",699
"Male","15–19 Years","New Plymouth","North Island general electorates","Not in Labour Force",1020
"Female","15–19 Years","New Plymouth","North Island general electorates","Not in Labour Force",915
"Male","20–24 Years","New Plymouth","North Island general electorates","Not in Labour Force",294
"Female","20–24 Years","New Plymouth","North Island general electorates","Not in Labour Force",471
"Male","25–29 Years","New Plymouth","North Island general electorates","Not in Labour Force",180
"Female","25–29 Years","New Plymouth","North Island general electorates","Not in Labour Force",507
"Male","30–34 Years","New Plymouth","North Island general electorates","Not in Labour Force",150
"Female","30–34 Years","New Plymouth","North Island general electorates","Not in Labour Force",534
"Male","35–39 Years","New Plymouth","North Island general electorates","Not in Labour Force",180
"Female","35–39 Years","New Plymouth","North Island general electorates","Not in Labour Force",573
"Male","40–44 Years","New Plymouth","North Island general electorates","Not in Labour Force",189
"Female","40–44 Years","New Plymouth","North Island general electorates","Not in Labour Force",477
"Male","45–49 Years","New Plymouth","North Island general electorates","Not in Labour Force",186
"Female","45–49 Years","New Plymouth","North Island general electorates","Not in Labour Force",369
"Male","50–54 Years","New Plymouth","North Island general electorates","Not in Labour Force",246
"Female","50–54 Years","New Plymouth","North Island general electorates","Not in Labour Force",396
"Male","55–59 Years","New Plymouth","North Island general electorates","Not in Labour Force",249
"Female","55–59 Years","New Plymouth","North Island general electorates","Not in Labour Force",498
"Male","60–64 Years","New Plymouth","North Island general electorates","Not in Labour Force",375
"Female","60–64 Years","New Plymouth","North Island general electorates","Not in Labour Force",699
"Male","65–69 Years","New Plymouth","North Island general electorates","Not in Labour Force",792
"Female","65–69 Years","New Plymouth","North Island general electorates","Not in Labour Force",1122
"Male","70–74 Years","New Plymouth","North Island general electorates","Not in Labour Force",912
"Female","70–74 Years","New Plymouth","North Island general electorates","Not in Labour Force",1125
"Male","75–79 Years","New Plymouth","North Island general electorates","Not in Labour Force",816
"Female","75–79 Years","New Plymouth","North Island general electorates","Not in Labour Force",1077
"Male","80–84 Years","New Plymouth","North Island general electorates","Not in Labour Force",660
"Female","80–84 Years","New Plymouth","North Island general electorates","Not in Labour Force",939
"Male","85 Years And Over","New Plymouth","North Island general electorates","Not in Labour Force",543
"Female","85 Years And Over","New Plymouth","North Island general electorates","Not in Labour Force",1077
"Male","15–19 Years","North Shore","North Island general electorates","Not in Labour Force",1422
"Female","15–19 Years","North Shore","North Island general electorates","Not in Labour Force",1149
"Male","20–24 Years","North Shore","North Island general electorates","Not in Labour Force",429
"Female","20–24 Years","North Shore","North Island general electorates","Not in Labour Force",423
"Male","25–29 Years","North Shore","North Island general electorates","Not in Labour Force",198
"Female","25–29 Years","North Shore","North Island general electorates","Not in Labour Force",324
"Male","30–34 Years","North Shore","North Island general electorates","Not in Labour Force",123
"Female","30–34 Years","North Shore","North Island general electorates","Not in Labour Force",513
"Male","35–39 Years","North Shore","North Island general electorates","Not in Labour Force",108
"Female","35–39 Years","North Shore","North Island general electorates","Not in Labour Force",579
"Male","40–44 Years","North Shore","North Island general electorates","Not in Labour Force",174
"Female","40–44 Years","North Shore","North Island general electorates","Not in Labour Force",666
"Male","45–49 Years","North Shore","North Island general electorates","Not in Labour Force",174
"Female","45–49 Years","North Shore","North Island general electorates","Not in Labour Force",501
"Male","50–54 Years","North Shore","North Island general electorates","Not in Labour Force",192
"Female","50–54 Years","North Shore","North Island general electorates","Not in Labour Force",477
"Male","55–59 Years","North Shore","North Island general electorates","Not in Labour Force",219
"Female","55–59 Years","North Shore","North Island general electorates","Not in Labour Force",522
"Male","60–64 Years","North Shore","North Island general electorates","Not in Labour Force",315
"Female","60–64 Years","North Shore","North Island general electorates","Not in Labour Force",654
"Male","65–69 Years","North Shore","North Island general electorates","Not in Labour Force",597
"Female","65–69 Years","North Shore","North Island general electorates","Not in Labour Force",972
"Male","70–74 Years","North Shore","North Island general electorates","Not in Labour Force",705
"Female","70–74 Years","North Shore","North Island general electorates","Not in Labour Force",960
"Male","75–79 Years","North Shore","North Island general electorates","Not in Labour Force",585
"Female","75–79 Years","North Shore","North Island general electorates","Not in Labour Force",822
"Male","80–84 Years","North Shore","North Island general electorates","Not in Labour Force",504
"Female","80–84 Years","North Shore","North Island general electorates","Not in Labour Force",747
"Male","85 Years And Over","North Shore","North Island general electorates","Not in Labour Force",438
"Female","85 Years And Over","North Shore","North Island general electorates","Not in Labour Force",963
"Male","15–19 Years","Northcote","North Island general electorates","Not in Labour Force",1134
"Female","15–19 Years","Northcote","North Island general electorates","Not in Labour Force",1113
"Male","20–24 Years","Northcote","North Island general electorates","Not in Labour Force",507
"Female","20–24 Years","Northcote","North Island general electorates","Not in Labour Force",585
"Male","25–29 Years","Northcote","North Island general electorates","Not in Labour Force",243
"Female","25–29 Years","Northcote","North Island general electorates","Not in Labour Force",516
"Male","30–34 Years","Northcote","North Island general electorates","Not in Labour Force",189
"Female","30–34 Years","Northcote","North Island general electorates","Not in Labour Force",672
"Male","35–39 Years","Northcote","North Island general electorates","Not in Labour Force",153
"Female","35–39 Years","Northcote","North Island general electorates","Not in Labour Force",642
"Male","40–44 Years","Northcote","North Island general electorates","Not in Labour Force",192
"Female","40–44 Years","Northcote","North Island general electorates","Not in Labour Force",534
"Male","45–49 Years","Northcote","North Island general electorates","Not in Labour Force",195
"Female","45–49 Years","Northcote","North Island general electorates","Not in Labour Force",393
"Male","50–54 Years","Northcote","North Island general electorates","Not in Labour Force",189
"Female","50–54 Years","Northcote","North Island general electorates","Not in Labour Force",429
"Male","55–59 Years","Northcote","North Island general electorates","Not in Labour Force",240
"Female","55–59 Years","Northcote","North Island general electorates","Not in Labour Force",477
"Male","60–64 Years","Northcote","North Island general electorates","Not in Labour Force",330
"Female","60–64 Years","Northcote","North Island general electorates","Not in Labour Force",510
"Male","65–69 Years","Northcote","North Island general electorates","Not in Labour Force",597
"Female","65–69 Years","Northcote","North Island general electorates","Not in Labour Force",849
"Male","70–74 Years","Northcote","North Island general electorates","Not in Labour Force",642
"Female","70–74 Years","Northcote","North Island general electorates","Not in Labour Force",837
"Male","75–79 Years","Northcote","North Island general electorates","Not in Labour Force",528
"Female","75–79 Years","Northcote","North Island general electorates","Not in Labour Force",627
"Male","80–84 Years","Northcote","North Island general electorates","Not in Labour Force",378
"Female","80–84 Years","Northcote","North Island general electorates","Not in Labour Force",489
"Male","85 Years And Over","Northcote","North Island general electorates","Not in Labour Force",285
"Female","85 Years And Over","Northcote","North Island general electorates","Not in Labour Force",630
"Male","15–19 Years","Northland","North Island general electorates","Not in Labour Force",1248
"Female","15–19 Years","Northland","North Island general electorates","Not in Labour Force",1233
"Male","20–24 Years","Northland","North Island general electorates","Not in Labour Force",327
"Female","20–24 Years","Northland","North Island general electorates","Not in Labour Force",579
"Male","25–29 Years","Northland","North Island general electorates","Not in Labour Force",258
"Female","25–29 Years","Northland","North Island general electorates","Not in Labour Force",600
"Male","30–34 Years","Northland","North Island general electorates","Not in Labour Force",258
"Female","30–34 Years","Northland","North Island general electorates","Not in Labour Force",615
"Male","35–39 Years","Northland","North Island general electorates","Not in Labour Force",315
"Female","35–39 Years","Northland","North Island general electorates","Not in Labour Force",570
"Male","40–44 Years","Northland","North Island general electorates","Not in Labour Force",387
"Female","40–44 Years","Northland","North Island general electorates","Not in Labour Force",591
"Male","45–49 Years","Northland","North Island general electorates","Not in Labour Force",468
"Female","45–49 Years","Northland","North Island general electorates","Not in Labour Force",648
"Male","50–54 Years","Northland","North Island general electorates","Not in Labour Force",582
"Female","50–54 Years","Northland","North Island general electorates","Not in Labour Force",732
"Male","55–59 Years","Northland","North Island general electorates","Not in Labour Force",651
"Female","55–59 Years","Northland","North Island general electorates","Not in Labour Force",846
"Male","60–64 Years","Northland","North Island general electorates","Not in Labour Force",879
"Female","60–64 Years","Northland","North Island general electorates","Not in Labour Force",1170
"Male","65–69 Years","Northland","North Island general electorates","Not in Labour Force",1371
"Female","65–69 Years","Northland","North Island general electorates","Not in Labour Force",1593
"Male","70–74 Years","Northland","North Island general electorates","Not in Labour Force",1404
"Female","70–74 Years","Northland","North Island general electorates","Not in Labour Force",1476
"Male","75–79 Years","Northland","North Island general electorates","Not in Labour Force",951
"Female","75–79 Years","Northland","North Island general electorates","Not in Labour Force",1014
"Male","80–84 Years","Northland","North Island general electorates","Not in Labour Force",645
"Female","80–84 Years","Northland","North Island general electorates","Not in Labour Force",720
"Male","85 Years And Over","Northland","North Island general electorates","Not in Labour Force",447
"Female","85 Years And Over","Northland","North Island general electorates","Not in Labour Force",717
"Male","15–19 Years","Ohariu","North Island general electorates","Not in Labour Force",1092
"Female","15–19 Years","Ohariu","North Island general electorates","Not in Labour Force",915
"Male","20–24 Years","Ohariu","North Island general electorates","Not in Labour Force",234
"Female","20–24 Years","Ohariu","North Island general electorates","Not in Labour Force",276
"Male","25–29 Years","Ohariu","North Island general electorates","Not in Labour Force",129
"Female","25–29 Years","Ohariu","North Island general electorates","Not in Labour Force",321
"Male","30–34 Years","Ohariu","North Island general electorates","Not in Labour Force",108
"Female","30–34 Years","Ohariu","North Island general electorates","Not in Labour Force",525
"Male","35–39 Years","Ohariu","North Island general electorates","Not in Labour Force",123
"Female","35–39 Years","Ohariu","North Island general electorates","Not in Labour Force",570
"Male","40–44 Years","Ohariu","North Island general electorates","Not in Labour Force",117
"Female","40–44 Years","Ohariu","North Island general electorates","Not in Labour Force",471
"Male","45–49 Years","Ohariu","North Island general electorates","Not in Labour Force",132
"Female","45–49 Years","Ohariu","North Island general electorates","Not in Labour Force",330
"Male","50–54 Years","Ohariu","North Island general electorates","Not in Labour Force",168
"Female","50–54 Years","Ohariu","North Island general electorates","Not in Labour Force",318
"Male","55–59 Years","Ohariu","North Island general electorates","Not in Labour Force",147
"Female","55–59 Years","Ohariu","North Island general electorates","Not in Labour Force",339
"Male","60–64 Years","Ohariu","North Island general electorates","Not in Labour Force",240
"Female","60–64 Years","Ohariu","North Island general electorates","Not in Labour Force",447
"Male","65–69 Years","Ohariu","North Island general electorates","Not in Labour Force",447
"Female","65–69 Years","Ohariu","North Island general electorates","Not in Labour Force",690
"Male","70–74 Years","Ohariu","North Island general electorates","Not in Labour Force",531
"Female","70–74 Years","Ohariu","North Island general electorates","Not in Labour Force",663
"Male","75–79 Years","Ohariu","North Island general electorates","Not in Labour Force",414
"Female","75–79 Years","Ohariu","North Island general electorates","Not in Labour Force",483
"Male","80–84 Years","Ohariu","North Island general electorates","Not in Labour Force",249
"Female","80–84 Years","Ohariu","North Island general electorates","Not in Labour Force",396
"Male","85 Years And Over","Ohariu","North Island general electorates","Not in Labour Force",216
"Female","85 Years And Over","Ohariu","North Island general electorates","Not in Labour Force",441
"Male","15–19 Years","Otaki","North Island general electorates","Not in Labour Force",945
"Female","15–19 Years","Otaki","North Island general electorates","Not in Labour Force",852
"Male","20–24 Years","Otaki","North Island general electorates","Not in Labour Force",207
"Female","20–24 Years","Otaki","North Island general electorates","Not in Labour Force",402
"Male","25–29 Years","Otaki","North Island general electorates","Not in Labour Force",132
"Female","25–29 Years","Otaki","North Island general electorates","Not in Labour Force",375
"Male","30–34 Years","Otaki","North Island general electorates","Not in Labour Force",126
"Female","30–34 Years","Otaki","North Island general electorates","Not in Labour Force",396
"Male","35–39 Years","Otaki","North Island general electorates","Not in Labour Force",150
"Female","35–39 Years","Otaki","North Island general electorates","Not in Labour Force",438
"Male","40–44 Years","Otaki","North Island general electorates","Not in Labour Force",207
"Female","40–44 Years","Otaki","North Island general electorates","Not in Labour Force",477
"Male","45–49 Years","Otaki","North Island general electorates","Not in Labour Force",267
"Female","45–49 Years","Otaki","North Island general electorates","Not in Labour Force",414
"Male","50–54 Years","Otaki","North Island general electorates","Not in Labour Force",330
"Female","50–54 Years","Otaki","North Island general electorates","Not in Labour Force",420
"Male","55–59 Years","Otaki","North Island general electorates","Not in Labour Force",339
"Female","55–59 Years","Otaki","North Island general electorates","Not in Labour Force",498
"Male","60–64 Years","Otaki","North Island general electorates","Not in Labour Force",462
"Female","60–64 Years","Otaki","North Island general electorates","Not in Labour Force",897
"Male","65–69 Years","Otaki","North Island general electorates","Not in Labour Force",1188
"Female","65–69 Years","Otaki","North Island general electorates","Not in Labour Force",1785
"Male","70–74 Years","Otaki","North Island general electorates","Not in Labour Force",1425
"Female","70–74 Years","Otaki","North Island general electorates","Not in Labour Force",1896
"Male","75–79 Years","Otaki","North Island general electorates","Not in Labour Force",1269
"Female","75–79 Years","Otaki","North Island general electorates","Not in Labour Force",1611
"Male","80–84 Years","Otaki","North Island general electorates","Not in Labour Force",1014
"Female","80–84 Years","Otaki","North Island general electorates","Not in Labour Force",1320
"Male","85 Years And Over","Otaki","North Island general electorates","Not in Labour Force",804
"Female","85 Years And Over","Otaki","North Island general electorates","Not in Labour Force",1353
"Male","15–19 Years","Pakuranga","North Island general electorates","Not in Labour Force",1539
