"level0","level1","level2","Sources of personal income(1)(2)","count"
"Sickness Benefit","Kaikoura","South Island general electorates","Male",411
"Domestic Purposes Benefit","Kaikoura","South Island general electorates","Male",93
"Invalids Benefit","Kaikoura","South Island general electorates","Male",567
"Student Allowance","Kaikoura","South Island general electorates","Male",174
"Other Govt Benefits, Payments or Pension","Kaikoura","South Island general electorates","Male",453
"Other Sources of Income","Kaikoura","South Island general electorates","Male",174
"No Source of Income During That Time(3)","Kaikoura","South Island general electorates","Male",804
"Not Stated","Kaikoura","South Island general electorates","Male",1452
"Wages, Salary, Commissions, Bonuses etc","Nelson","South Island general electorates","Male",13656
"Self–employment or Business","Nelson","South Island general electorates","Male",4596
"Interest, Dividends, Rent, Other Invest.","Nelson","South Island general electorates","Male",6054
"Payments from a Work Accident Insurer","Nelson","South Island general electorates","Male",408
"NZ Superannuation or Veterans Pension","Nelson","South Island general electorates","Male",4491
"Other Super., Pensions, Annuities","Nelson","South Island general electorates","Male",1113
"Unemployment Benefit","Nelson","South Island general electorates","Male",651
"Sickness Benefit","Nelson","South Island general electorates","Male",549
"Domestic Purposes Benefit","Nelson","South Island general electorates","Male",129
"Invalids Benefit","Nelson","South Island general electorates","Male",600
"Student Allowance","Nelson","South Island general electorates","Male",393
"Other Govt Benefits, Payments or Pension","Nelson","South Island general electorates","Male",735
"Other Sources of Income","Nelson","South Island general electorates","Male",219
"No Source of Income During That Time(3)","Nelson","South Island general electorates","Male",936
"Not Stated","Nelson","South Island general electorates","Male",1182
"Wages, Salary, Commissions, Bonuses etc","Port Hills","South Island general electorates","Male",14991
"Self–employment or Business","Port Hills","South Island general electorates","Male",5109
"Interest, Dividends, Rent, Other Invest.","Port Hills","South Island general electorates","Male",6888
"Payments from a Work Accident Insurer","Port Hills","South Island general electorates","Male",321
"NZ Superannuation or Veterans Pension","Port Hills","South Island general electorates","Male",4305
"Other Super., Pensions, Annuities","Port Hills","South Island general electorates","Male",1008
"Unemployment Benefit","Port Hills","South Island general electorates","Male",381
"Sickness Benefit","Port Hills","South Island general electorates","Male",468
"Domestic Purposes Benefit","Port Hills","South Island general electorates","Male",75
"Invalids Benefit","Port Hills","South Island general electorates","Male",570
"Student Allowance","Port Hills","South Island general electorates","Male",438
"Other Govt Benefits, Payments or Pension","Port Hills","South Island general electorates","Male",540
"Other Sources of Income","Port Hills","South Island general electorates","Male",270
"No Source of Income During That Time(3)","Port Hills","South Island general electorates","Male",1032
"Not Stated","Port Hills","South Island general electorates","Male",1335
"Wages, Salary, Commissions, Bonuses etc","Rangitata","South Island general electorates","Male",15267
"Self–employment or Business","Rangitata","South Island general electorates","Male",4302
"Interest, Dividends, Rent, Other Invest.","Rangitata","South Island general electorates","Male",5772
"Payments from a Work Accident Insurer","Rangitata","South Island general electorates","Male",414
"NZ Superannuation or Veterans Pension","Rangitata","South Island general electorates","Male",4896
"Other Super., Pensions, Annuities","Rangitata","South Island general electorates","Male",693
"Unemployment Benefit","Rangitata","South Island general electorates","Male",540
"Sickness Benefit","Rangitata","South Island general electorates","Male",408
"Domestic Purposes Benefit","Rangitata","South Island general electorates","Male",87
"Invalids Benefit","Rangitata","South Island general electorates","Male",663
"Student Allowance","Rangitata","South Island general electorates","Male",180
"Other Govt Benefits, Payments or Pension","Rangitata","South Island general electorates","Male",348
"Other Sources of Income","Rangitata","South Island general electorates","Male",153
"No Source of Income During That Time(3)","Rangitata","South Island general electorates","Male",681
"Not Stated","Rangitata","South Island general electorates","Male",1353
"Wages, Salary, Commissions, Bonuses etc","Selwyn","South Island general electorates","Male",14577
"Self–employment or Business","Selwyn","South Island general electorates","Male",6030
"Interest, Dividends, Rent, Other Invest.","Selwyn","South Island general electorates","Male",5844
"Payments from a Work Accident Insurer","Selwyn","South Island general electorates","Male",366
"NZ Superannuation or Veterans Pension","Selwyn","South Island general electorates","Male",3171
"Other Super., Pensions, Annuities","Selwyn","South Island general electorates","Male",657
"Unemployment Benefit","Selwyn","South Island general electorates","Male",249
"Sickness Benefit","Selwyn","South Island general electorates","Male",273
"Domestic Purposes Benefit","Selwyn","South Island general electorates","Male",33
"Invalids Benefit","Selwyn","South Island general electorates","Male",324
"Student Allowance","Selwyn","South Island general electorates","Male",339
"Other Govt Benefits, Payments or Pension","Selwyn","South Island general electorates","Male",342
"Other Sources of Income","Selwyn","South Island general electorates","Male",210
"No Source of Income During That Time(3)","Selwyn","South Island general electorates","Male",1068
"Not Stated","Selwyn","South Island general electorates","Male",1101
"Wages, Salary, Commissions, Bonuses etc","Waimakariri","South Island general electorates","Male",13707
"Self–employment or Business","Waimakariri","South Island general electorates","Male",4650
"Interest, Dividends, Rent, Other Invest.","Waimakariri","South Island general electorates","Male",5448
"Payments from a Work Accident Insurer","Waimakariri","South Island general electorates","Male",399
"NZ Superannuation or Veterans Pension","Waimakariri","South Island general electorates","Male",4356
"Other Super., Pensions, Annuities","Waimakariri","South Island general electorates","Male",840
"Unemployment Benefit","Waimakariri","South Island general electorates","Male",255
"Sickness Benefit","Waimakariri","South Island general electorates","Male",324
"Domestic Purposes Benefit","Waimakariri","South Island general electorates","Male",69
"Invalids Benefit","Waimakariri","South Island general electorates","Male",414
"Student Allowance","Waimakariri","South Island general electorates","Male",288
"Other Govt Benefits, Payments or Pension","Waimakariri","South Island general electorates","Male",396
"Other Sources of Income","Waimakariri","South Island general electorates","Male",150
"No Source of Income During That Time(3)","Waimakariri","South Island general electorates","Male",930
"Not Stated","Waimakariri","South Island general electorates","Male",951
"Wages, Salary, Commissions, Bonuses etc","Waitaki","South Island general electorates","Male",13824
"Self–employment or Business","Waitaki","South Island general electorates","Male",6750
"Interest, Dividends, Rent, Other Invest.","Waitaki","South Island general electorates","Male",6546
"Payments from a Work Accident Insurer","Waitaki","South Island general electorates","Male",450
"NZ Superannuation or Veterans Pension","Waitaki","South Island general electorates","Male",5541
"Other Super., Pensions, Annuities","Waitaki","South Island general electorates","Male",834
"Unemployment Benefit","Waitaki","South Island general electorates","Male",429
"Sickness Benefit","Waitaki","South Island general electorates","Male",378
"Domestic Purposes Benefit","Waitaki","South Island general electorates","Male",69
"Invalids Benefit","Waitaki","South Island general electorates","Male",474
"Student Allowance","Waitaki","South Island general electorates","Male",162
"Other Govt Benefits, Payments or Pension","Waitaki","South Island general electorates","Male",381
"Other Sources of Income","Waitaki","South Island general electorates","Male",171
"No Source of Income During That Time(3)","Waitaki","South Island general electorates","Male",759
"Not Stated","Waitaki","South Island general electorates","Male",1551
"Wages, Salary, Commissions, Bonuses etc","West Coast-Tasman","South Island general electorates","Male",13401
"Self–employment or Business","West Coast-Tasman","South Island general electorates","Male",5790
"Interest, Dividends, Rent, Other Invest.","West Coast-Tasman","South Island general electorates","Male",5181
"Payments from a Work Accident Insurer","West Coast-Tasman","South Island general electorates","Male",477
"NZ Superannuation or Veterans Pension","West Coast-Tasman","South Island general electorates","Male",4623
"Other Super., Pensions, Annuities","West Coast-Tasman","South Island general electorates","Male",783
"Unemployment Benefit","West Coast-Tasman","South Island general electorates","Male",585
"Sickness Benefit","West Coast-Tasman","South Island general electorates","Male",570
"Domestic Purposes Benefit","West Coast-Tasman","South Island general electorates","Male",135
"Invalids Benefit","West Coast-Tasman","South Island general electorates","Male",681
"Student Allowance","West Coast-Tasman","South Island general electorates","Male",201
"Other Govt Benefits, Payments or Pension","West Coast-Tasman","South Island general electorates","Male",432
"Other Sources of Income","West Coast-Tasman","South Island general electorates","Male",180
"No Source of Income During That Time(3)","West Coast-Tasman","South Island general electorates","Male",756
"Not Stated","West Coast-Tasman","South Island general electorates","Male",1725
"Wages, Salary, Commissions, Bonuses etc","Wigram","South Island general electorates","Male",15909
"Self–employment or Business","Wigram","South Island general electorates","Male",2604
"Interest, Dividends, Rent, Other Invest.","Wigram","South Island general electorates","Male",4056
"Payments from a Work Accident Insurer","Wigram","South Island general electorates","Male",372
"NZ Superannuation or Veterans Pension","Wigram","South Island general electorates","Male",3171
"Other Super., Pensions, Annuities","Wigram","South Island general electorates","Male",618
"Unemployment Benefit","Wigram","South Island general electorates","Male",639
"Sickness Benefit","Wigram","South Island general electorates","Male",549
"Domestic Purposes Benefit","Wigram","South Island general electorates","Male",96
"Invalids Benefit","Wigram","South Island general electorates","Male",777
"Student Allowance","Wigram","South Island general electorates","Male",1137
"Other Govt Benefits, Payments or Pension","Wigram","South Island general electorates","Male",543
"Other Sources of Income","Wigram","South Island general electorates","Male",453
"No Source of Income During That Time(3)","Wigram","South Island general electorates","Male",1146
"Not Stated","Wigram","South Island general electorates","Male",1740
"Wages, Salary, Commissions, Bonuses etc","Area Outside General Electorate","South Island general electorates","Male",NA
"Self–employment or Business","Area Outside General Electorate","South Island general electorates","Male",NA
"Interest, Dividends, Rent, Other Invest.","Area Outside General Electorate","South Island general electorates","Male",NA
"Payments from a Work Accident Insurer","Area Outside General Electorate","South Island general electorates","Male",NA
"NZ Superannuation or Veterans Pension","Area Outside General Electorate","South Island general electorates","Male",NA
"Other Super., Pensions, Annuities","Area Outside General Electorate","South Island general electorates","Male",NA
"Unemployment Benefit","Area Outside General Electorate","South Island general electorates","Male",NA
"Sickness Benefit","Area Outside General Electorate","South Island general electorates","Male",NA
"Domestic Purposes Benefit","Area Outside General Electorate","South Island general electorates","Male",NA
"Invalids Benefit","Area Outside General Electorate","South Island general electorates","Male",NA
"Student Allowance","Area Outside General Electorate","South Island general electorates","Male",NA
"Other Govt Benefits, Payments or Pension","Area Outside General Electorate","South Island general electorates","Male",NA
"Other Sources of Income","Area Outside General Electorate","South Island general electorates","Male",NA
"No Source of Income During That Time(3)","Area Outside General Electorate","South Island general electorates","Male",NA
"Not Stated","Area Outside General Electorate","South Island general electorates","Male",NA
"Wages, Salary, Commissions, Bonuses etc","Auckland Central","North Island general electorates","Female",14928
"Self–employment or Business","Auckland Central","North Island general electorates","Female",3186
"Interest, Dividends, Rent, Other Invest.","Auckland Central","North Island general electorates","Female",4311
"Payments from a Work Accident Insurer","Auckland Central","North Island general electorates","Female",123
"NZ Superannuation or Veterans Pension","Auckland Central","North Island general electorates","Female",1791
"Other Super., Pensions, Annuities","Auckland Central","North Island general electorates","Female",315
"Unemployment Benefit","Auckland Central","North Island general electorates","Female",582
"Sickness Benefit","Auckland Central","North Island general electorates","Female",480
"Domestic Purposes Benefit","Auckland Central","North Island general electorates","Female",348
"Invalids Benefit","Auckland Central","North Island general electorates","Female",285
"Student Allowance","Auckland Central","North Island general electorates","Female",1656
"Other Govt Benefits, Payments or Pension","Auckland Central","North Island general electorates","Female",846
"Other Sources of Income","Auckland Central","North Island general electorates","Female",1434
"No Source of Income During That Time(3)","Auckland Central","North Island general electorates","Female",2835
"Not Stated","Auckland Central","North Island general electorates","Female",2943
"Wages, Salary, Commissions, Bonuses etc","Bay of Plenty","North Island general electorates","Female",13170
"Self–employment or Business","Bay of Plenty","North Island general electorates","Female",3504
"Interest, Dividends, Rent, Other Invest.","Bay of Plenty","North Island general electorates","Female",6207
"Payments from a Work Accident Insurer","Bay of Plenty","North Island general electorates","Female",270
"NZ Superannuation or Veterans Pension","Bay of Plenty","North Island general electorates","Female",5835
"Other Super., Pensions, Annuities","Bay of Plenty","North Island general electorates","Female",726
"Unemployment Benefit","Bay of Plenty","North Island general electorates","Female",507
"Sickness Benefit","Bay of Plenty","North Island general electorates","Female",654
"Domestic Purposes Benefit","Bay of Plenty","North Island general electorates","Female",1410
"Invalids Benefit","Bay of Plenty","North Island general electorates","Female",426
"Student Allowance","Bay of Plenty","North Island general electorates","Female",561
"Other Govt Benefits, Payments or Pension","Bay of Plenty","North Island general electorates","Female",1761
"Other Sources of Income","Bay of Plenty","North Island general electorates","Female",573
"No Source of Income During That Time(3)","Bay of Plenty","North Island general electorates","Female",1806
"Not Stated","Bay of Plenty","North Island general electorates","Female",1416
"Wages, Salary, Commissions, Bonuses etc","Botany","North Island general electorates","Female",13752
"Self–employment or Business","Botany","North Island general electorates","Female",2283
"Interest, Dividends, Rent, Other Invest.","Botany","North Island general electorates","Female",4422
"Payments from a Work Accident Insurer","Botany","North Island general electorates","Female",123
"NZ Superannuation or Veterans Pension","Botany","North Island general electorates","Female",2862
"Other Super., Pensions, Annuities","Botany","North Island general electorates","Female",480
"Unemployment Benefit","Botany","North Island general electorates","Female",534
"Sickness Benefit","Botany","North Island general electorates","Female",558
"Domestic Purposes Benefit","Botany","North Island general electorates","Female",672
"Invalids Benefit","Botany","North Island general electorates","Female",294
"Student Allowance","Botany","North Island general electorates","Female",876
"Other Govt Benefits, Payments or Pension","Botany","North Island general electorates","Female",1215
"Other Sources of Income","Botany","North Island general electorates","Female",462
"No Source of Income During That Time(3)","Botany","North Island general electorates","Female",3372
"Not Stated","Botany","North Island general electorates","Female",1512
"Wages, Salary, Commissions, Bonuses etc","Coromandel","North Island general electorates","Female",11715
"Self–employment or Business","Coromandel","North Island general electorates","Female",4692
"Interest, Dividends, Rent, Other Invest.","Coromandel","North Island general electorates","Female",6342
"Payments from a Work Accident Insurer","Coromandel","North Island general electorates","Female",258
"NZ Superannuation or Veterans Pension","Coromandel","North Island general electorates","Female",7560
"Other Super., Pensions, Annuities","Coromandel","North Island general electorates","Female",732
"Unemployment Benefit","Coromandel","North Island general electorates","Female",450
"Sickness Benefit","Coromandel","North Island general electorates","Female",660
"Domestic Purposes Benefit","Coromandel","North Island general electorates","Female",1272
"Invalids Benefit","Coromandel","North Island general electorates","Female",849
"Student Allowance","Coromandel","North Island general electorates","Female",285
"Other Govt Benefits, Payments or Pension","Coromandel","North Island general electorates","Female",1533
"Other Sources of Income","Coromandel","North Island general electorates","Female",414
"No Source of Income During That Time(3)","Coromandel","North Island general electorates","Female",1590
"Not Stated","Coromandel","North Island general electorates","Female",1665
"Wages, Salary, Commissions, Bonuses etc","East Coast","North Island general electorates","Female",18036
"Self–employment or Business","East Coast","North Island general electorates","Female",3765
"Interest, Dividends, Rent, Other Invest.","East Coast","North Island general electorates","Female",5685
"Payments from a Work Accident Insurer","East Coast","North Island general electorates","Female",360
"NZ Superannuation or Veterans Pension","East Coast","North Island general electorates","Female",6666
"Other Super., Pensions, Annuities","East Coast","North Island general electorates","Female",756
"Unemployment Benefit","East Coast","North Island general electorates","Female",1560
"Sickness Benefit","East Coast","North Island general electorates","Female",1047
"Domestic Purposes Benefit","East Coast","North Island general electorates","Female",2982
"Invalids Benefit","East Coast","North Island general electorates","Female",1053
"Student Allowance","East Coast","North Island general electorates","Female",732
"Other Govt Benefits, Payments or Pension","East Coast","North Island general electorates","Female",2358
"Other Sources of Income","East Coast","North Island general electorates","Female",702
"No Source of Income During That Time(3)","East Coast","North Island general electorates","Female",2373
"Not Stated","East Coast","North Island general electorates","Female",3681
"Wages, Salary, Commissions, Bonuses etc","East Coast Bays","North Island general electorates","Female",13260
"Self–employment or Business","East Coast Bays","North Island general electorates","Female",2946
"Interest, Dividends, Rent, Other Invest.","East Coast Bays","North Island general electorates","Female",5064
"Payments from a Work Accident Insurer","East Coast Bays","North Island general electorates","Female",150
"NZ Superannuation or Veterans Pension","East Coast Bays","North Island general electorates","Female",3438
"Other Super., Pensions, Annuities","East Coast Bays","North Island general electorates","Female",636
"Unemployment Benefit","East Coast Bays","North Island general electorates","Female",276
"Sickness Benefit","East Coast Bays","North Island general electorates","Female",321
"Domestic Purposes Benefit","East Coast Bays","North Island general electorates","Female",489
"Invalids Benefit","East Coast Bays","North Island general electorates","Female",201
"Student Allowance","East Coast Bays","North Island general electorates","Female",804
"Other Govt Benefits, Payments or Pension","East Coast Bays","North Island general electorates","Female",1149
"Other Sources of Income","East Coast Bays","North Island general electorates","Female",699
"No Source of Income During That Time(3)","East Coast Bays","North Island general electorates","Female",2994
"Not Stated","East Coast Bays","North Island general electorates","Female",1455
"Wages, Salary, Commissions, Bonuses etc","Epsom","North Island general electorates","Female",13926
"Self–employment or Business","Epsom","North Island general electorates","Female",3876
"Interest, Dividends, Rent, Other Invest.","Epsom","North Island general electorates","Female",7497
"Payments from a Work Accident Insurer","Epsom","North Island general electorates","Female",99
"NZ Superannuation or Veterans Pension","Epsom","North Island general electorates","Female",3111
"Other Super., Pensions, Annuities","Epsom","North Island general electorates","Female",456
"Unemployment Benefit","Epsom","North Island general electorates","Female",378
"Sickness Benefit","Epsom","North Island general electorates","Female",300
"Domestic Purposes Benefit","Epsom","North Island general electorates","Female",291
"Invalids Benefit","Epsom","North Island general electorates","Female",192
"Student Allowance","Epsom","North Island general electorates","Female",930
"Other Govt Benefits, Payments or Pension","Epsom","North Island general electorates","Female",714
"Other Sources of Income","Epsom","North Island general electorates","Female",933
"No Source of Income During That Time(3)","Epsom","North Island general electorates","Female",3228
"Not Stated","Epsom","North Island general electorates","Female",1839
"Wages, Salary, Commissions, Bonuses etc","Hamilton East","North Island general electorates","Female",16179
"Self–employment or Business","Hamilton East","North Island general electorates","Female",2292
"Interest, Dividends, Rent, Other Invest.","Hamilton East","North Island general electorates","Female",5355
"Payments from a Work Accident Insurer","Hamilton East","North Island general electorates","Female",228
"NZ Superannuation or Veterans Pension","Hamilton East","North Island general electorates","Female",4194
"Other Super., Pensions, Annuities","Hamilton East","North Island general electorates","Female",633
"Unemployment Benefit","Hamilton East","North Island general electorates","Female",975
"Sickness Benefit","Hamilton East","North Island general electorates","Female",672
"Domestic Purposes Benefit","Hamilton East","North Island general electorates","Female",1506
"Invalids Benefit","Hamilton East","North Island general electorates","Female",744
"Student Allowance","Hamilton East","North Island general electorates","Female",1962
"Other Govt Benefits, Payments or Pension","Hamilton East","North Island general electorates","Female",1710
"Other Sources of Income","Hamilton East","North Island general electorates","Female",921
"No Source of Income During That Time(3)","Hamilton East","North Island general electorates","Female",2532
"Not Stated","Hamilton East","North Island general electorates","Female",1998
"Wages, Salary, Commissions, Bonuses etc","Hamilton West","North Island general electorates","Female",16221
"Self–employment or Business","Hamilton West","North Island general electorates","Female",2100
"Interest, Dividends, Rent, Other Invest.","Hamilton West","North Island general electorates","Female",4179
"Payments from a Work Accident Insurer","Hamilton West","North Island general electorates","Female",249
"NZ Superannuation or Veterans Pension","Hamilton West","North Island general electorates","Female",3867
"Other Super., Pensions, Annuities","Hamilton West","North Island general electorates","Female",474
"Unemployment Benefit","Hamilton West","North Island general electorates","Female",981
"Sickness Benefit","Hamilton West","North Island general electorates","Female",885
"Domestic Purposes Benefit","Hamilton West","North Island general electorates","Female",1971
"Invalids Benefit","Hamilton West","North Island general electorates","Female",801
"Student Allowance","Hamilton West","North Island general electorates","Female",1134
"Other Govt Benefits, Payments or Pension","Hamilton West","North Island general electorates","Female",2067
"Other Sources of Income","Hamilton West","North Island general electorates","Female",687
"No Source of Income During That Time(3)","Hamilton West","North Island general electorates","Female",2175
"Not Stated","Hamilton West","North Island general electorates","Female",1878
"Wages, Salary, Commissions, Bonuses etc","Helensville","North Island general electorates","Female",12948
"Self–employment or Business","Helensville","North Island general electorates","Female",4362
"Interest, Dividends, Rent, Other Invest.","Helensville","North Island general electorates","Female",4674
"Payments from a Work Accident Insurer","Helensville","North Island general electorates","Female",240
"NZ Superannuation or Veterans Pension","Helensville","North Island general electorates","Female",2682
"Other Super., Pensions, Annuities","Helensville","North Island general electorates","Female",366
"Unemployment Benefit","Helensville","North Island general electorates","Female",312
"Sickness Benefit","Helensville","North Island general electorates","Female",402
"Domestic Purposes Benefit","Helensville","North Island general electorates","Female",687
"Invalids Benefit","Helensville","North Island general electorates","Female",285
"Student Allowance","Helensville","North Island general electorates","Female",522
"Other Govt Benefits, Payments or Pension","Helensville","North Island general electorates","Female",1116
"Other Sources of Income","Helensville","North Island general electorates","Female",477
"No Source of Income During That Time(3)","Helensville","North Island general electorates","Female",2151
"Not Stated","Helensville","North Island general electorates","Female",1740
"Wages, Salary, Commissions, Bonuses etc","Hunua","North Island general electorates","Female",13278
"Self–employment or Business","Hunua","North Island general electorates","Female",3438
"Interest, Dividends, Rent, Other Invest.","Hunua","North Island general electorates","Female",4671
"Payments from a Work Accident Insurer","Hunua","North Island general electorates","Female",198
"NZ Superannuation or Veterans Pension","Hunua","North Island general electorates","Female",3912
"Other Super., Pensions, Annuities","Hunua","North Island general electorates","Female",459
"Unemployment Benefit","Hunua","North Island general electorates","Female",450
"Sickness Benefit","Hunua","North Island general electorates","Female",465
"Domestic Purposes Benefit","Hunua","North Island general electorates","Female",1044
"Invalids Benefit","Hunua","North Island general electorates","Female",327
"Student Allowance","Hunua","North Island general electorates","Female",432
"Other Govt Benefits, Payments or Pension","Hunua","North Island general electorates","Female",1386
"Other Sources of Income","Hunua","North Island general electorates","Female",453
"No Source of Income During That Time(3)","Hunua","North Island general electorates","Female",2481
"Not Stated","Hunua","North Island general electorates","Female",1629
"Wages, Salary, Commissions, Bonuses etc","Hutt South","North Island general electorates","Female",16572
"Self–employment or Business","Hutt South","North Island general electorates","Female",2508
"Interest, Dividends, Rent, Other Invest.","Hutt South","North Island general electorates","Female",5898
"Payments from a Work Accident Insurer","Hutt South","North Island general electorates","Female",246
"NZ Superannuation or Veterans Pension","Hutt South","North Island general electorates","Female",4257
"Other Super., Pensions, Annuities","Hutt South","North Island general electorates","Female",759
"Unemployment Benefit","Hutt South","North Island general electorates","Female",732
"Sickness Benefit","Hutt South","North Island general electorates","Female",483
"Domestic Purposes Benefit","Hutt South","North Island general electorates","Female",1113
"Invalids Benefit","Hutt South","North Island general electorates","Female",555
"Student Allowance","Hutt South","North Island general electorates","Female",576
"Other Govt Benefits, Payments or Pension","Hutt South","North Island general electorates","Female",1590
"Other Sources of Income","Hutt South","North Island general electorates","Female",603
"No Source of Income During That Time(3)","Hutt South","North Island general electorates","Female",2205
"Not Stated","Hutt South","North Island general electorates","Female",1629
"Wages, Salary, Commissions, Bonuses etc","Kelston","North Island general electorates","Female",13044
"Self–employment or Business","Kelston","North Island general electorates","Female",1614
"Interest, Dividends, Rent, Other Invest.","Kelston","North Island general electorates","Female",2316
"Payments from a Work Accident Insurer","Kelston","North Island general electorates","Female",159
"NZ Superannuation or Veterans Pension","Kelston","North Island general electorates","Female",2619
"Other Super., Pensions, Annuities","Kelston","North Island general electorates","Female",384
"Unemployment Benefit","Kelston","North Island general electorates","Female",903
"Sickness Benefit","Kelston","North Island general electorates","Female",939
"Domestic Purposes Benefit","Kelston","North Island general electorates","Female",1671
"Invalids Benefit","Kelston","North Island general electorates","Female",582
"Student Allowance","Kelston","North Island general electorates","Female",963
"Other Govt Benefits, Payments or Pension","Kelston","North Island general electorates","Female",1689
"Other Sources of Income","Kelston","North Island general electorates","Female",456
"No Source of Income During That Time(3)","Kelston","North Island general electorates","Female",2607
"Not Stated","Kelston","North Island general electorates","Female",2370
"Wages, Salary, Commissions, Bonuses etc","Mana","North Island general electorates","Female",15075
"Self–employment or Business","Mana","North Island general electorates","Female",2466
"Interest, Dividends, Rent, Other Invest.","Mana","North Island general electorates","Female",4644
"Payments from a Work Accident Insurer","Mana","North Island general electorates","Female",213
"NZ Superannuation or Veterans Pension","Mana","North Island general electorates","Female",3804
"Other Super., Pensions, Annuities","Mana","North Island general electorates","Female",762
"Unemployment Benefit","Mana","North Island general electorates","Female",888
"Sickness Benefit","Mana","North Island general electorates","Female",588
"Domestic Purposes Benefit","Mana","North Island general electorates","Female",1566
"Invalids Benefit","Mana","North Island general electorates","Female",588
"Student Allowance","Mana","North Island general electorates","Female",633
"Other Govt Benefits, Payments or Pension","Mana","North Island general electorates","Female",1740
"Other Sources of Income","Mana","North Island general electorates","Female",579
"No Source of Income During That Time(3)","Mana","North Island general electorates","Female",2172
"Not Stated","Mana","North Island general electorates","Female",2103
"Wages, Salary, Commissions, Bonuses etc","Mangere","North Island general electorates","Female",10398
"Self–employment or Business","Mangere","North Island general electorates","Female",582
"Interest, Dividends, Rent, Other Invest.","Mangere","North Island general electorates","Female",1086
"Payments from a Work Accident Insurer","Mangere","North Island general electorates","Female",108
"NZ Superannuation or Veterans Pension","Mangere","North Island general electorates","Female",2061
"Other Super., Pensions, Annuities","Mangere","North Island general electorates","Female",354
"Unemployment Benefit","Mangere","North Island general electorates","Female",1098
"Sickness Benefit","Mangere","North Island general electorates","Female",1113
"Domestic Purposes Benefit","Mangere","North Island general electorates","Female",1995
"Invalids Benefit","Mangere","North Island general electorates","Female",585
"Student Allowance","Mangere","North Island general electorates","Female",969
"Other Govt Benefits, Payments or Pension","Mangere","North Island general electorates","Female",1698
"Other Sources of Income","Mangere","North Island general electorates","Female",300
"No Source of Income During That Time(3)","Mangere","North Island general electorates","Female",3027
"Not Stated","Mangere","North Island general electorates","Female",3444
"Wages, Salary, Commissions, Bonuses etc","Manukau East","North Island general electorates","Female",10635
"Self–employment or Business","Manukau East","North Island general electorates","Female",711
"Interest, Dividends, Rent, Other Invest.","Manukau East","North Island general electorates","Female",1263
"Payments from a Work Accident Insurer","Manukau East","North Island general electorates","Female",102
"NZ Superannuation or Veterans Pension","Manukau East","North Island general electorates","Female",2295
"Other Super., Pensions, Annuities","Manukau East","North Island general electorates","Female",351
"Unemployment Benefit","Manukau East","North Island general electorates","Female",1224
"Sickness Benefit","Manukau East","North Island general electorates","Female",1227
"Domestic Purposes Benefit","Manukau East","North Island general electorates","Female",1824
"Invalids Benefit","Manukau East","North Island general electorates","Female",633
"Student Allowance","Manukau East","North Island general electorates","Female",972
"Other Govt Benefits, Payments or Pension","Manukau East","North Island general electorates","Female",1476
"Other Sources of Income","Manukau East","North Island general electorates","Female",258
"No Source of Income During That Time(3)","Manukau East","North Island general electorates","Female",3195
"Not Stated","Manukau East","North Island general electorates","Female",3171
"Wages, Salary, Commissions, Bonuses etc","Manurewa","North Island general electorates","Female",12177
"Self–employment or Business","Manurewa","North Island general electorates","Female",897
"Interest, Dividends, Rent, Other Invest.","Manurewa","North Island general electorates","Female",1575
"Payments from a Work Accident Insurer","Manurewa","North Island general electorates","Female",156
"NZ Superannuation or Veterans Pension","Manurewa","North Island general electorates","Female",2319
"Other Super., Pensions, Annuities","Manurewa","North Island general electorates","Female",327
"Unemployment Benefit","Manurewa","North Island general electorates","Female",1371
"Sickness Benefit","Manurewa","North Island general electorates","Female",1242
"Domestic Purposes Benefit","Manurewa","North Island general electorates","Female",2634
"Invalids Benefit","Manurewa","North Island general electorates","Female",693
"Student Allowance","Manurewa","North Island general electorates","Female",969
"Other Govt Benefits, Payments or Pension","Manurewa","North Island general electorates","Female",1638
"Other Sources of Income","Manurewa","North Island general electorates","Female",339
"No Source of Income During That Time(3)","Manurewa","North Island general electorates","Female",3210
"Not Stated","Manurewa","North Island general electorates","Female",3633
"Wages, Salary, Commissions, Bonuses etc","Maungakiekie","North Island general electorates","Female",15270
"Self–employment or Business","Maungakiekie","North Island general electorates","Female",1926
"Interest, Dividends, Rent, Other Invest.","Maungakiekie","North Island general electorates","Female",3825
"Payments from a Work Accident Insurer","Maungakiekie","North Island general electorates","Female",156
"NZ Superannuation or Veterans Pension","Maungakiekie","North Island general electorates","Female",3057
"Other Super., Pensions, Annuities","Maungakiekie","North Island general electorates","Female",432
"Unemployment Benefit","Maungakiekie","North Island general electorates","Female",846
"Sickness Benefit","Maungakiekie","North Island general electorates","Female",924
"Domestic Purposes Benefit","Maungakiekie","North Island general electorates","Female",1338
"Invalids Benefit","Maungakiekie","North Island general electorates","Female",507
"Student Allowance","Maungakiekie","North Island general electorates","Female",909
"Other Govt Benefits, Payments or Pension","Maungakiekie","North Island general electorates","Female",1653
"Other Sources of Income","Maungakiekie","North Island general electorates","Female",561
"No Source of Income During That Time(3)","Maungakiekie","North Island general electorates","Female",2409
"Not Stated","Maungakiekie","North Island general electorates","Female",2571
"Wages, Salary, Commissions, Bonuses etc","Mt Albert","North Island general electorates","Female",15801
"Self–employment or Business","Mt Albert","North Island general electorates","Female",3546
