"level0","level1","level2","Number of children born alive","count"
"75–79 Years","Manurewa","North Island general electorates","Four Children",75
"80–84 Years","Manurewa","North Island general electorates","Four Children",51
"85 Years And Over","Manurewa","North Island general electorates","Four Children",27
"15–19 Years","Maungakiekie","North Island general electorates","Four Children",0
"20–24 Years","Maungakiekie","North Island general electorates","Four Children",6
"25–29 Years","Maungakiekie","North Island general electorates","Four Children",33
"30–34 Years","Maungakiekie","North Island general electorates","Four Children",78
"35–39 Years","Maungakiekie","North Island general electorates","Four Children",99
"40–44 Years","Maungakiekie","North Island general electorates","Four Children",132
"45–49 Years","Maungakiekie","North Island general electorates","Four Children",138
"50–54 Years","Maungakiekie","North Island general electorates","Four Children",156
"55–59 Years","Maungakiekie","North Island general electorates","Four Children",138
"60–64 Years","Maungakiekie","North Island general electorates","Four Children",123
"65–69 Years","Maungakiekie","North Island general electorates","Four Children",108
"70–74 Years","Maungakiekie","North Island general electorates","Four Children",102
"75–79 Years","Maungakiekie","North Island general electorates","Four Children",81
"80–84 Years","Maungakiekie","North Island general electorates","Four Children",72
"85 Years And Over","Maungakiekie","North Island general electorates","Four Children",75
"15–19 Years","Mt Albert","North Island general electorates","Four Children",0
"20–24 Years","Mt Albert","North Island general electorates","Four Children",0
"25–29 Years","Mt Albert","North Island general electorates","Four Children",12
"30–34 Years","Mt Albert","North Island general electorates","Four Children",21
"35–39 Years","Mt Albert","North Island general electorates","Four Children",51
"40–44 Years","Mt Albert","North Island general electorates","Four Children",81
"45–49 Years","Mt Albert","North Island general electorates","Four Children",66
"50–54 Years","Mt Albert","North Island general electorates","Four Children",78
"55–59 Years","Mt Albert","North Island general electorates","Four Children",99
"60–64 Years","Mt Albert","North Island general electorates","Four Children",78
"65–69 Years","Mt Albert","North Island general electorates","Four Children",51
"70–74 Years","Mt Albert","North Island general electorates","Four Children",60
"75–79 Years","Mt Albert","North Island general electorates","Four Children",75
"80–84 Years","Mt Albert","North Island general electorates","Four Children",51
"85 Years And Over","Mt Albert","North Island general electorates","Four Children",48
"15–19 Years","Mt Roskill","North Island general electorates","Four Children",0
"20–24 Years","Mt Roskill","North Island general electorates","Four Children",3
"25–29 Years","Mt Roskill","North Island general electorates","Four Children",18
"30–34 Years","Mt Roskill","North Island general electorates","Four Children",69
"35–39 Years","Mt Roskill","North Island general electorates","Four Children",81
"40–44 Years","Mt Roskill","North Island general electorates","Four Children",117
"45–49 Years","Mt Roskill","North Island general electorates","Four Children",114
"50–54 Years","Mt Roskill","North Island general electorates","Four Children",162
"55–59 Years","Mt Roskill","North Island general electorates","Four Children",129
"60–64 Years","Mt Roskill","North Island general electorates","Four Children",99
"65–69 Years","Mt Roskill","North Island general electorates","Four Children",105
"70–74 Years","Mt Roskill","North Island general electorates","Four Children",105
"75–79 Years","Mt Roskill","North Island general electorates","Four Children",87
"80–84 Years","Mt Roskill","North Island general electorates","Four Children",63
"85 Years And Over","Mt Roskill","North Island general electorates","Four Children",105
"15–19 Years","Napier","North Island general electorates","Four Children",0
"20–24 Years","Napier","North Island general electorates","Four Children",12
"25–29 Years","Napier","North Island general electorates","Four Children",42
"30–34 Years","Napier","North Island general electorates","Four Children",96
"35–39 Years","Napier","North Island general electorates","Four Children",165
"40–44 Years","Napier","North Island general electorates","Four Children",165
"45–49 Years","Napier","North Island general electorates","Four Children",207
"50–54 Years","Napier","North Island general electorates","Four Children",231
"55–59 Years","Napier","North Island general electorates","Four Children",246
"60–64 Years","Napier","North Island general electorates","Four Children",261
"65–69 Years","Napier","North Island general electorates","Four Children",228
"70–74 Years","Napier","North Island general electorates","Four Children",219
"75–79 Years","Napier","North Island general electorates","Four Children",195
"80–84 Years","Napier","North Island general electorates","Four Children",144
"85 Years And Over","Napier","North Island general electorates","Four Children",168
"15–19 Years","New Lynn","North Island general electorates","Four Children",0
"20–24 Years","New Lynn","North Island general electorates","Four Children",3
"25–29 Years","New Lynn","North Island general electorates","Four Children",15
"30–34 Years","New Lynn","North Island general electorates","Four Children",45
"35–39 Years","New Lynn","North Island general electorates","Four Children",66
"40–44 Years","New Lynn","North Island general electorates","Four Children",93
"45–49 Years","New Lynn","North Island general electorates","Four Children",123
"50–54 Years","New Lynn","North Island general electorates","Four Children",114
"55–59 Years","New Lynn","North Island general electorates","Four Children",111
"60–64 Years","New Lynn","North Island general electorates","Four Children",108
"65–69 Years","New Lynn","North Island general electorates","Four Children",108
"70–74 Years","New Lynn","North Island general electorates","Four Children",135
"75–79 Years","New Lynn","North Island general electorates","Four Children",117
"80–84 Years","New Lynn","North Island general electorates","Four Children",93
"85 Years And Over","New Lynn","North Island general electorates","Four Children",84
"15–19 Years","New Plymouth","North Island general electorates","Four Children",0
"20–24 Years","New Plymouth","North Island general electorates","Four Children",3
"25–29 Years","New Plymouth","North Island general electorates","Four Children",48
"30–34 Years","New Plymouth","North Island general electorates","Four Children",72
"35–39 Years","New Plymouth","North Island general electorates","Four Children",144
"40–44 Years","New Plymouth","North Island general electorates","Four Children",171
"45–49 Years","New Plymouth","North Island general electorates","Four Children",192
"50–54 Years","New Plymouth","North Island general electorates","Four Children",246
"55–59 Years","New Plymouth","North Island general electorates","Four Children",249
"60–64 Years","New Plymouth","North Island general electorates","Four Children",249
"65–69 Years","New Plymouth","North Island general electorates","Four Children",270
"70–74 Years","New Plymouth","North Island general electorates","Four Children",249
"75–79 Years","New Plymouth","North Island general electorates","Four Children",237
"80–84 Years","New Plymouth","North Island general electorates","Four Children",216
"85 Years And Over","New Plymouth","North Island general electorates","Four Children",156
"15–19 Years","North Shore","North Island general electorates","Four Children",0
"20–24 Years","North Shore","North Island general electorates","Four Children",3
"25–29 Years","North Shore","North Island general electorates","Four Children",6
"30–34 Years","North Shore","North Island general electorates","Four Children",15
"35–39 Years","North Shore","North Island general electorates","Four Children",45
"40–44 Years","North Shore","North Island general electorates","Four Children",102
"45–49 Years","North Shore","North Island general electorates","Four Children",108
"50–54 Years","North Shore","North Island general electorates","Four Children",111
"55–59 Years","North Shore","North Island general electorates","Four Children",129
"60–64 Years","North Shore","North Island general electorates","Four Children",114
"65–69 Years","North Shore","North Island general electorates","Four Children",111
"70–74 Years","North Shore","North Island general electorates","Four Children",138
"75–79 Years","North Shore","North Island general electorates","Four Children",126
"80–84 Years","North Shore","North Island general electorates","Four Children",126
"85 Years And Over","North Shore","North Island general electorates","Four Children",135
"15–19 Years","Northcote","North Island general electorates","Four Children",0
"20–24 Years","Northcote","North Island general electorates","Four Children",0
"25–29 Years","Northcote","North Island general electorates","Four Children",9
"30–34 Years","Northcote","North Island general electorates","Four Children",42
"35–39 Years","Northcote","North Island general electorates","Four Children",72
"40–44 Years","Northcote","North Island general electorates","Four Children",99
"45–49 Years","Northcote","North Island general electorates","Four Children",132
"50–54 Years","Northcote","North Island general electorates","Four Children",132
"55–59 Years","Northcote","North Island general electorates","Four Children",117
"60–64 Years","Northcote","North Island general electorates","Four Children",102
"65–69 Years","Northcote","North Island general electorates","Four Children",117
"70–74 Years","Northcote","North Island general electorates","Four Children",123
"75–79 Years","Northcote","North Island general electorates","Four Children",93
"80–84 Years","Northcote","North Island general electorates","Four Children",75
"85 Years And Over","Northcote","North Island general electorates","Four Children",75
"15–19 Years","Northland","North Island general electorates","Four Children",0
"20–24 Years","Northland","North Island general electorates","Four Children",15
"25–29 Years","Northland","North Island general electorates","Four Children",72
"30–34 Years","Northland","North Island general electorates","Four Children",150
"35–39 Years","Northland","North Island general electorates","Four Children",222
"40–44 Years","Northland","North Island general electorates","Four Children",267
"45–49 Years","Northland","North Island general electorates","Four Children",294
"50–54 Years","Northland","North Island general electorates","Four Children",369
"55–59 Years","Northland","North Island general electorates","Four Children",342
"60–64 Years","Northland","North Island general electorates","Four Children",363
"65–69 Years","Northland","North Island general electorates","Four Children",351
"70–74 Years","Northland","North Island general electorates","Four Children",270
"75–79 Years","Northland","North Island general electorates","Four Children",195
"80–84 Years","Northland","North Island general electorates","Four Children",135
"85 Years And Over","Northland","North Island general electorates","Four Children",105
"15–19 Years","Ohariu","North Island general electorates","Four Children",0
"20–24 Years","Ohariu","North Island general electorates","Four Children",3
"25–29 Years","Ohariu","North Island general electorates","Four Children",3
"30–34 Years","Ohariu","North Island general electorates","Four Children",30
"35–39 Years","Ohariu","North Island general electorates","Four Children",75
"40–44 Years","Ohariu","North Island general electorates","Four Children",84
"45–49 Years","Ohariu","North Island general electorates","Four Children",132
"50–54 Years","Ohariu","North Island general electorates","Four Children",138
"55–59 Years","Ohariu","North Island general electorates","Four Children",111
"60–64 Years","Ohariu","North Island general electorates","Four Children",114
"65–69 Years","Ohariu","North Island general electorates","Four Children",120
"70–74 Years","Ohariu","North Island general electorates","Four Children",96
"75–79 Years","Ohariu","North Island general electorates","Four Children",81
"80–84 Years","Ohariu","North Island general electorates","Four Children",63
"85 Years And Over","Ohariu","North Island general electorates","Four Children",54
"15–19 Years","Otaki","North Island general electorates","Four Children",0
"20–24 Years","Otaki","North Island general electorates","Four Children",12
"25–29 Years","Otaki","North Island general electorates","Four Children",24
"30–34 Years","Otaki","North Island general electorates","Four Children",72
"35–39 Years","Otaki","North Island general electorates","Four Children",129
"40–44 Years","Otaki","North Island general electorates","Four Children",177
"45–49 Years","Otaki","North Island general electorates","Four Children",198
"50–54 Years","Otaki","North Island general electorates","Four Children",219
"55–59 Years","Otaki","North Island general electorates","Four Children",204
"60–64 Years","Otaki","North Island general electorates","Four Children",237
"65–69 Years","Otaki","North Island general electorates","Four Children",312
"70–74 Years","Otaki","North Island general electorates","Four Children",333
"75–79 Years","Otaki","North Island general electorates","Four Children",303
"80–84 Years","Otaki","North Island general electorates","Four Children",201
"85 Years And Over","Otaki","North Island general electorates","Four Children",198
"15–19 Years","Pakuranga","North Island general electorates","Four Children",0
"20–24 Years","Pakuranga","North Island general electorates","Four Children",0
"25–29 Years","Pakuranga","North Island general electorates","Four Children",9
"30–34 Years","Pakuranga","North Island general electorates","Four Children",36
"35–39 Years","Pakuranga","North Island general electorates","Four Children",60
"40–44 Years","Pakuranga","North Island general electorates","Four Children",99
"45–49 Years","Pakuranga","North Island general electorates","Four Children",117
"50–54 Years","Pakuranga","North Island general electorates","Four Children",126
"55–59 Years","Pakuranga","North Island general electorates","Four Children",126
"60–64 Years","Pakuranga","North Island general electorates","Four Children",123
"65–69 Years","Pakuranga","North Island general electorates","Four Children",111
"70–74 Years","Pakuranga","North Island general electorates","Four Children",126
"75–79 Years","Pakuranga","North Island general electorates","Four Children",99
"80–84 Years","Pakuranga","North Island general electorates","Four Children",84
"85 Years And Over","Pakuranga","North Island general electorates","Four Children",99
"15–19 Years","Palmerston North","North Island general electorates","Four Children",0
"20–24 Years","Palmerston North","North Island general electorates","Four Children",12
"25–29 Years","Palmerston North","North Island general electorates","Four Children",39
"30–34 Years","Palmerston North","North Island general electorates","Four Children",78
"35–39 Years","Palmerston North","North Island general electorates","Four Children",117
"40–44 Years","Palmerston North","North Island general electorates","Four Children",141
"45–49 Years","Palmerston North","North Island general electorates","Four Children",171
"50–54 Years","Palmerston North","North Island general electorates","Four Children",222
"55–59 Years","Palmerston North","North Island general electorates","Four Children",177
"60–64 Years","Palmerston North","North Island general electorates","Four Children",189
"65–69 Years","Palmerston North","North Island general electorates","Four Children",165
"70–74 Years","Palmerston North","North Island general electorates","Four Children",168
"75–79 Years","Palmerston North","North Island general electorates","Four Children",165
"80–84 Years","Palmerston North","North Island general electorates","Four Children",126
"85 Years And Over","Palmerston North","North Island general electorates","Four Children",120
"15–19 Years","Papakura","North Island general electorates","Four Children",0
"20–24 Years","Papakura","North Island general electorates","Four Children",21
"25–29 Years","Papakura","North Island general electorates","Four Children",66
"30–34 Years","Papakura","North Island general electorates","Four Children",120
"35–39 Years","Papakura","North Island general electorates","Four Children",162
"40–44 Years","Papakura","North Island general electorates","Four Children",207
"45–49 Years","Papakura","North Island general electorates","Four Children",231
"50–54 Years","Papakura","North Island general electorates","Four Children",225
"55–59 Years","Papakura","North Island general electorates","Four Children",189
"60–64 Years","Papakura","North Island general electorates","Four Children",186
"65–69 Years","Papakura","North Island general electorates","Four Children",162
"70–74 Years","Papakura","North Island general electorates","Four Children",162
"75–79 Years","Papakura","North Island general electorates","Four Children",114
"80–84 Years","Papakura","North Island general electorates","Four Children",102
"85 Years And Over","Papakura","North Island general electorates","Four Children",75
"15–19 Years","Rangitikei","North Island general electorates","Four Children",0
"20–24 Years","Rangitikei","North Island general electorates","Four Children",6
"25–29 Years","Rangitikei","North Island general electorates","Four Children",51
"30–34 Years","Rangitikei","North Island general electorates","Four Children",105
"35–39 Years","Rangitikei","North Island general electorates","Four Children",189
"40–44 Years","Rangitikei","North Island general electorates","Four Children",210
"45–49 Years","Rangitikei","North Island general electorates","Four Children",243
"50–54 Years","Rangitikei","North Island general electorates","Four Children",306
"55–59 Years","Rangitikei","North Island general electorates","Four Children",261
"60–64 Years","Rangitikei","North Island general electorates","Four Children",249
"65–69 Years","Rangitikei","North Island general electorates","Four Children",225
"70–74 Years","Rangitikei","North Island general electorates","Four Children",231
"75–79 Years","Rangitikei","North Island general electorates","Four Children",177
"80–84 Years","Rangitikei","North Island general electorates","Four Children",117
"85 Years And Over","Rangitikei","North Island general electorates","Four Children",96
"15–19 Years","Rimutaka","North Island general electorates","Four Children",0
"20–24 Years","Rimutaka","North Island general electorates","Four Children",6
"25–29 Years","Rimutaka","North Island general electorates","Four Children",27
"30–34 Years","Rimutaka","North Island general electorates","Four Children",90
"35–39 Years","Rimutaka","North Island general electorates","Four Children",123
"40–44 Years","Rimutaka","North Island general electorates","Four Children",195
"45–49 Years","Rimutaka","North Island general electorates","Four Children",213
"50–54 Years","Rimutaka","North Island general electorates","Four Children",240
"55–59 Years","Rimutaka","North Island general electorates","Four Children",237
"60–64 Years","Rimutaka","North Island general electorates","Four Children",180
"65–69 Years","Rimutaka","North Island general electorates","Four Children",189
"70–74 Years","Rimutaka","North Island general electorates","Four Children",150
"75–79 Years","Rimutaka","North Island general electorates","Four Children",165
"80–84 Years","Rimutaka","North Island general electorates","Four Children",126
"85 Years And Over","Rimutaka","North Island general electorates","Four Children",126
"15–19 Years","Rodney","North Island general electorates","Four Children",0
"20–24 Years","Rodney","North Island general electorates","Four Children",3
"25–29 Years","Rodney","North Island general electorates","Four Children",12
"30–34 Years","Rodney","North Island general electorates","Four Children",36
"35–39 Years","Rodney","North Island general electorates","Four Children",72
"40–44 Years","Rodney","North Island general electorates","Four Children",135
"45–49 Years","Rodney","North Island general electorates","Four Children",141
"50–54 Years","Rodney","North Island general electorates","Four Children",162
"55–59 Years","Rodney","North Island general electorates","Four Children",150
"60–64 Years","Rodney","North Island general electorates","Four Children",165
"65–69 Years","Rodney","North Island general electorates","Four Children",198
"70–74 Years","Rodney","North Island general electorates","Four Children",225
"75–79 Years","Rodney","North Island general electorates","Four Children",234
"80–84 Years","Rodney","North Island general electorates","Four Children",174
"85 Years And Over","Rodney","North Island general electorates","Four Children",138
"15–19 Years","Rongotai","North Island general electorates","Four Children",0
"20–24 Years","Rongotai","North Island general electorates","Four Children",0
"25–29 Years","Rongotai","North Island general electorates","Four Children",9
"30–34 Years","Rongotai","North Island general electorates","Four Children",18
"35–39 Years","Rongotai","North Island general electorates","Four Children",45
"40–44 Years","Rongotai","North Island general electorates","Four Children",90
"45–49 Years","Rongotai","North Island general electorates","Four Children",123
"50–54 Years","Rongotai","North Island general electorates","Four Children",129
"55–59 Years","Rongotai","North Island general electorates","Four Children",135
"60–64 Years","Rongotai","North Island general electorates","Four Children",114
"65–69 Years","Rongotai","North Island general electorates","Four Children",96
"70–74 Years","Rongotai","North Island general electorates","Four Children",96
"75–79 Years","Rongotai","North Island general electorates","Four Children",90
"80–84 Years","Rongotai","North Island general electorates","Four Children",84
"85 Years And Over","Rongotai","North Island general electorates","Four Children",69
"15–19 Years","Rotorua","North Island general electorates","Four Children",0
"20–24 Years","Rotorua","North Island general electorates","Four Children",12
"25–29 Years","Rotorua","North Island general electorates","Four Children",60
"30–34 Years","Rotorua","North Island general electorates","Four Children",141
"35–39 Years","Rotorua","North Island general electorates","Four Children",183
"40–44 Years","Rotorua","North Island general electorates","Four Children",261
"45–49 Years","Rotorua","North Island general electorates","Four Children",264
"50–54 Years","Rotorua","North Island general electorates","Four Children",309
"55–59 Years","Rotorua","North Island general electorates","Four Children",273
"60–64 Years","Rotorua","North Island general electorates","Four Children",255
"65–69 Years","Rotorua","North Island general electorates","Four Children",225
"70–74 Years","Rotorua","North Island general electorates","Four Children",219
"75–79 Years","Rotorua","North Island general electorates","Four Children",162
"80–84 Years","Rotorua","North Island general electorates","Four Children",129
"85 Years And Over","Rotorua","North Island general electorates","Four Children",108
"15–19 Years","Tamaki","North Island general electorates","Four Children",0
"20–24 Years","Tamaki","North Island general electorates","Four Children",3
"25–29 Years","Tamaki","North Island general electorates","Four Children",15
"30–34 Years","Tamaki","North Island general electorates","Four Children",27
"35–39 Years","Tamaki","North Island general electorates","Four Children",60
"40–44 Years","Tamaki","North Island general electorates","Four Children",78
"45–49 Years","Tamaki","North Island general electorates","Four Children",84
"50–54 Years","Tamaki","North Island general electorates","Four Children",102
"55–59 Years","Tamaki","North Island general electorates","Four Children",105
"60–64 Years","Tamaki","North Island general electorates","Four Children",108
"65–69 Years","Tamaki","North Island general electorates","Four Children",99
"70–74 Years","Tamaki","North Island general electorates","Four Children",111
"75–79 Years","Tamaki","North Island general electorates","Four Children",105
"80–84 Years","Tamaki","North Island general electorates","Four Children",90
"85 Years And Over","Tamaki","North Island general electorates","Four Children",90
"15–19 Years","Taranaki-King Country","North Island general electorates","Four Children",0
"20–24 Years","Taranaki-King Country","North Island general electorates","Four Children",12
"25–29 Years","Taranaki-King Country","North Island general electorates","Four Children",51
"30–34 Years","Taranaki-King Country","North Island general electorates","Four Children",120
"35–39 Years","Taranaki-King Country","North Island general electorates","Four Children",168
"40–44 Years","Taranaki-King Country","North Island general electorates","Four Children",228
"45–49 Years","Taranaki-King Country","North Island general electorates","Four Children",258
"50–54 Years","Taranaki-King Country","North Island general electorates","Four Children",297
"55–59 Years","Taranaki-King Country","North Island general electorates","Four Children",279
"60–64 Years","Taranaki-King Country","North Island general electorates","Four Children",228
"65–69 Years","Taranaki-King Country","North Island general electorates","Four Children",240
"70–74 Years","Taranaki-King Country","North Island general electorates","Four Children",204
"75–79 Years","Taranaki-King Country","North Island general electorates","Four Children",168
"80–84 Years","Taranaki-King Country","North Island general electorates","Four Children",129
"85 Years And Over","Taranaki-King Country","North Island general electorates","Four Children",93
"15–19 Years","Taupo","North Island general electorates","Four Children",0
"20–24 Years","Taupo","North Island general electorates","Four Children",12
"25–29 Years","Taupo","North Island general electorates","Four Children",51
"30–34 Years","Taupo","North Island general electorates","Four Children",129
"35–39 Years","Taupo","North Island general electorates","Four Children",168
"40–44 Years","Taupo","North Island general electorates","Four Children",228
"45–49 Years","Taupo","North Island general electorates","Four Children",255
"50–54 Years","Taupo","North Island general electorates","Four Children",294
"55–59 Years","Taupo","North Island general electorates","Four Children",243
"60–64 Years","Taupo","North Island general electorates","Four Children",255
"65–69 Years","Taupo","North Island general electorates","Four Children",279
"70–74 Years","Taupo","North Island general electorates","Four Children",252
"75–79 Years","Taupo","North Island general electorates","Four Children",189
"80–84 Years","Taupo","North Island general electorates","Four Children",150
"85 Years And Over","Taupo","North Island general electorates","Four Children",117
"15–19 Years","Tauranga","North Island general electorates","Four Children",0
"20–24 Years","Tauranga","North Island general electorates","Four Children",9
"25–29 Years","Tauranga","North Island general electorates","Four Children",24
"30–34 Years","Tauranga","North Island general electorates","Four Children",60
"35–39 Years","Tauranga","North Island general electorates","Four Children",84
"40–44 Years","Tauranga","North Island general electorates","Four Children",147
"45–49 Years","Tauranga","North Island general electorates","Four Children",144
"50–54 Years","Tauranga","North Island general electorates","Four Children",177
"55–59 Years","Tauranga","North Island general electorates","Four Children",189
"60–64 Years","Tauranga","North Island general electorates","Four Children",171
"65–69 Years","Tauranga","North Island general electorates","Four Children",177
"70–74 Years","Tauranga","North Island general electorates","Four Children",270
"75–79 Years","Tauranga","North Island general electorates","Four Children",270
"80–84 Years","Tauranga","North Island general electorates","Four Children",198
"85 Years And Over","Tauranga","North Island general electorates","Four Children",204
"15–19 Years","Te Atatu","North Island general electorates","Four Children",0
"20–24 Years","Te Atatu","North Island general electorates","Four Children",9
"25–29 Years","Te Atatu","North Island general electorates","Four Children",42
"30–34 Years","Te Atatu","North Island general electorates","Four Children",66
"35–39 Years","Te Atatu","North Island general electorates","Four Children",144
"40–44 Years","Te Atatu","North Island general electorates","Four Children",171
"45–49 Years","Te Atatu","North Island general electorates","Four Children",177
"50–54 Years","Te Atatu","North Island general electorates","Four Children",189
"55–59 Years","Te Atatu","North Island general electorates","Four Children",183
"60–64 Years","Te Atatu","North Island general electorates","Four Children",150
"65–69 Years","Te Atatu","North Island general electorates","Four Children",153
"70–74 Years","Te Atatu","North Island general electorates","Four Children",135
"75–79 Years","Te Atatu","North Island general electorates","Four Children",144
"80–84 Years","Te Atatu","North Island general electorates","Four Children",87
"85 Years And Over","Te Atatu","North Island general electorates","Four Children",72
"15–19 Years","Tukituki","North Island general electorates","Four Children",0
"20–24 Years","Tukituki","North Island general electorates","Four Children",12
"25–29 Years","Tukituki","North Island general electorates","Four Children",60
"30–34 Years","Tukituki","North Island general electorates","Four Children",117
"35–39 Years","Tukituki","North Island general electorates","Four Children",189
"40–44 Years","Tukituki","North Island general electorates","Four Children",210
"45–49 Years","Tukituki","North Island general electorates","Four Children",231
"50–54 Years","Tukituki","North Island general electorates","Four Children",282
"55–59 Years","Tukituki","North Island general electorates","Four Children",261
"60–64 Years","Tukituki","North Island general electorates","Four Children",243
"65–69 Years","Tukituki","North Island general electorates","Four Children",216
"70–74 Years","Tukituki","North Island general electorates","Four Children",225
"75–79 Years","Tukituki","North Island general electorates","Four Children",189
"80–84 Years","Tukituki","North Island general electorates","Four Children",135
"85 Years And Over","Tukituki","North Island general electorates","Four Children",111
"15–19 Years","Upper Harbour","North Island general electorates","Four Children",0
"20–24 Years","Upper Harbour","North Island general electorates","Four Children",3
"25–29 Years","Upper Harbour","North Island general electorates","Four Children",27
"30–34 Years","Upper Harbour","North Island general electorates","Four Children",69
"35–39 Years","Upper Harbour","North Island general electorates","Four Children",93
"40–44 Years","Upper Harbour","North Island general electorates","Four Children",138
"45–49 Years","Upper Harbour","North Island general electorates","Four Children",168
"50–54 Years","Upper Harbour","North Island general electorates","Four Children",144
"55–59 Years","Upper Harbour","North Island general electorates","Four Children",147
"60–64 Years","Upper Harbour","North Island general electorates","Four Children",126
"65–69 Years","Upper Harbour","North Island general electorates","Four Children",108
"70–74 Years","Upper Harbour","North Island general electorates","Four Children",93
"75–79 Years","Upper Harbour","North Island general electorates","Four Children",90
"80–84 Years","Upper Harbour","North Island general electorates","Four Children",36
"85 Years And Over","Upper Harbour","North Island general electorates","Four Children",36
"15–19 Years","Waikato","North Island general electorates","Four Children",0
"20–24 Years","Waikato","North Island general electorates","Four Children",6
"25–29 Years","Waikato","North Island general electorates","Four Children",45
"30–34 Years","Waikato","North Island general electorates","Four Children",135
"35–39 Years","Waikato","North Island general electorates","Four Children",189
"40–44 Years","Waikato","North Island general electorates","Four Children",237
"45–49 Years","Waikato","North Island general electorates","Four Children",240
"50–54 Years","Waikato","North Island general electorates","Four Children",285
"55–59 Years","Waikato","North Island general electorates","Four Children",288
"60–64 Years","Waikato","North Island general electorates","Four Children",240
"65–69 Years","Waikato","North Island general electorates","Four Children",225
"70–74 Years","Waikato","North Island general electorates","Four Children",219
"75–79 Years","Waikato","North Island general electorates","Four Children",168
"80–84 Years","Waikato","North Island general electorates","Four Children",150
"85 Years And Over","Waikato","North Island general electorates","Four Children",123
"15–19 Years","Wairarapa","North Island general electorates","Four Children",0
"20–24 Years","Wairarapa","North Island general electorates","Four Children",6
"25–29 Years","Wairarapa","North Island general electorates","Four Children",45
"30–34 Years","Wairarapa","North Island general electorates","Four Children",117
"35–39 Years","Wairarapa","North Island general electorates","Four Children",141
"40–44 Years","Wairarapa","North Island general electorates","Four Children",216
"45–49 Years","Wairarapa","North Island general electorates","Four Children",225
"50–54 Years","Wairarapa","North Island general electorates","Four Children",291
"55–59 Years","Wairarapa","North Island general electorates","Four Children",297
"60–64 Years","Wairarapa","North Island general electorates","Four Children",324
"65–69 Years","Wairarapa","North Island general electorates","Four Children",294
"70–74 Years","Wairarapa","North Island general electorates","Four Children",276
"75–79 Years","Wairarapa","North Island general electorates","Four Children",216
"80–84 Years","Wairarapa","North Island general electorates","Four Children",186
"85 Years And Over","Wairarapa","North Island general electorates","Four Children",150
"15–19 Years","Wellington Central","North Island general electorates","Four Children",0
"20–24 Years","Wellington Central","North Island general electorates","Four Children",3
"25–29 Years","Wellington Central","North Island general electorates","Four Children",0
"30–34 Years","Wellington Central","North Island general electorates","Four Children",12
"35–39 Years","Wellington Central","North Island general electorates","Four Children",24
"40–44 Years","Wellington Central","North Island general electorates","Four Children",48
"45–49 Years","Wellington Central","North Island general electorates","Four Children",57
"50–54 Years","Wellington Central","North Island general electorates","Four Children",87
"55–59 Years","Wellington Central","North Island general electorates","Four Children",99
"60–64 Years","Wellington Central","North Island general electorates","Four Children",69
"65–69 Years","Wellington Central","North Island general electorates","Four Children",60
"70–74 Years","Wellington Central","North Island general electorates","Four Children",66
"75–79 Years","Wellington Central","North Island general electorates","Four Children",51
"80–84 Years","Wellington Central","North Island general electorates","Four Children",45
"85 Years And Over","Wellington Central","North Island general electorates","Four Children",18
"15–19 Years","Whanganui","North Island general electorates","Four Children",0
"20–24 Years","Whanganui","North Island general electorates","Four Children",18
"25–29 Years","Whanganui","North Island general electorates","Four Children",60
"30–34 Years","Whanganui","North Island general electorates","Four Children",114
"35–39 Years","Whanganui","North Island general electorates","Four Children",183
"40–44 Years","Whanganui","North Island general electorates","Four Children",249
"45–49 Years","Whanganui","North Island general electorates","Four Children",261
"50–54 Years","Whanganui","North Island general electorates","Four Children",330
"55–59 Years","Whanganui","North Island general electorates","Four Children",312
"60–64 Years","Whanganui","North Island general electorates","Four Children",246
"65–69 Years","Whanganui","North Island general electorates","Four Children",279
"70–74 Years","Whanganui","North Island general electorates","Four Children",258
"75–79 Years","Whanganui","North Island general electorates","Four Children",234
"80–84 Years","Whanganui","North Island general electorates","Four Children",174
"85 Years And Over","Whanganui","North Island general electorates","Four Children",156
"15–19 Years","Whangarei","North Island general electorates","Four Children",0
"20–24 Years","Whangarei","North Island general electorates","Four Children",12
"25–29 Years","Whangarei","North Island general electorates","Four Children",60
"30–34 Years","Whangarei","North Island general electorates","Four Children",96
"35–39 Years","Whangarei","North Island general electorates","Four Children",141
"40–44 Years","Whangarei","North Island general electorates","Four Children",213
"45–49 Years","Whangarei","North Island general electorates","Four Children",219
"50–54 Years","Whangarei","North Island general electorates","Four Children",258
"55–59 Years","Whangarei","North Island general electorates","Four Children",231
"60–64 Years","Whangarei","North Island general electorates","Four Children",204
"65–69 Years","Whangarei","North Island general electorates","Four Children",216
"70–74 Years","Whangarei","North Island general electorates","Four Children",252
"75–79 Years","Whangarei","North Island general electorates","Four Children",222
"80–84 Years","Whangarei","North Island general electorates","Four Children",180
"85 Years And Over","Whangarei","North Island general electorates","Four Children",168
"15–19 Years","Christchurch Central","South Island general electorates","Four Children",0
"20–24 Years","Christchurch Central","South Island general electorates","Four Children",3
"25–29 Years","Christchurch Central","South Island general electorates","Four Children",18
"30–34 Years","Christchurch Central","South Island general electorates","Four Children",45
"35–39 Years","Christchurch Central","South Island general electorates","Four Children",66
"40–44 Years","Christchurch Central","South Island general electorates","Four Children",96
"45–49 Years","Christchurch Central","South Island general electorates","Four Children",90
"50–54 Years","Christchurch Central","South Island general electorates","Four Children",159
